𢠁	pgcw
𢡜	pgfo
𢞄	pghr
𠣗	pgi
𢤢	pgif
𣣑	pgno
𢙺	pgp
𢤤	pgp
𢜳	pgrt
𠤪	pgwa
𢥣	phab
𢝓	phae
𩾔	phaf
𩾕	phaf
𢚋	phau
𦙑	phb
𢤾	phbd
𢘚	phbi
𥁑	phbt
𢙆	phbu
𢙐	phbv
𠣘	phby
𨥓	phc
𢠧	phce
𢤫	phcq
𢝥	phde
𢟊	phdp
𢜼	phdt
𢛊	phdv
𢖻	phe
𢥕	phei
𠤆	pheja
𢘸	pheq
𡭥	phfh
𡊭	phg
𢗖	phg
𢣤	phgf
𢡩	phgi
𠤄	phgj
𢙝	phgu
𤽣	phha
𩾲	phhaf
𢒆	phhh
𢛞	phhj
𢞖	phhk
𧍦	phhki
𠤂	phhn
𧰨	phho
𢞓	phhw
𢤝	phir
𢝆	phjg
𢛉	phjm
𧸈	phjmc
𢝺	phju
𨍂	phjwj
𢝹	phk
𠛡	phln
𩑮	phmbc
𢗈	phmn
𡠍	phmwv
𧟰	phmwv
𢘛	phmy
𠘩	phn
𢖯	phn
𢖾	phn
𢙜	phnb
𢗎	phne
𢞁	phni
𣢊	phno
𣢠	phno
𢤳	phoc
𠣾	phoe
𠤇	phoe
𢜢	phoe
𢛛	phog
𢣜	phoj
𣍐	phoma
𢟎	phoo
𢠰	phoo
𢖲	php
𢗧	php
𢝤	phpm
𢗳	phqu
𠯳	phr
𠰣	phr
𢞬	phrf
𢗼	phs
𢟝	phse
𠨘	phsl
𢛷	phss
𢥸	phst
𢗢	pht
𢤣	phtn
𡵶	phu
𡶇	phu
𢡋	phuj
𢡨	phuj
𢣦	phul
𢣔	phus
𢗾	phvl
