𢥵	poee
𢜐	pog
𨾅	pog
𢥠	poge
𢦄	pogg
𧹾	poglc
𩿌	pohaf
𩴷	pohui
𠤑	pok
𠤕	pok
𢗡	pok
𢚮	pokm
𢛍	pokr
𢘐	pom
𢙓	pomi
𠣒	pomm
𣤃	ponhs
𢜵	ponk
𢡽	pooa
𦡼	poobo
𢚂	poog
𠤈	pool
𢛦	pop
𢣕	pop
𢘬	popd
𢡁	porm
𢠑	porr
𢜰	port
𢠏	port
𧿗	poryo
𢙬	posk
𢑼	posmb
𩣎	posqf
𢠉	powb
𢢬	poyb
𢠨	poyk
𧭐	poymr
𢖬	pp
𢗰	pp
𣅜	ppa
𢞛	ppas
𦐳	ppbsm
𣬄	ppcsh
𤿎	ppde
𤆫	ppf
𣬗	ppft
𣬘	ppft
𪂒	pphaf
𢗘	pphh
𩲖	pphi
𤘤	pphq
𢝻	pphu
𣬇	pphvh
𣬃	pphvs
𢗕	ppi
𢗋	ppim
𨋅	ppjwj
𡗬	ppk
𠡻	ppks
𢙒	ppku
𧔯	pplii
𧔻	pplii
𣬆	ppme
𣬂	ppmj
𣬊	ppmjj
𢗋	ppmm
𧣅	ppnbg
𨚍	ppnl
𣢋	ppno
𢻹	ppok
𣬓	ppoot
𢗽	ppp
𢝷	pppa
𢣳	pppi
𣬅	pppp
𢗠	ppsh
𠨒	ppsl
𡛗	ppv
𦁞	ppvf
𢽨	ppye
𢝁	ppyr
𠤧	pqao
𢙩	pqd
𨐈	pqfmu
𢝛	pqhk
𨐅	pqhne
𨐇	pqikp
𢗒	pqj
𢟩	pqjm
𨐊	pqjqp
𢝇	pqjr
𢝣	pqka
𢜗	pqkq
𢟩	pqks
𢠅	pqkx
𢝂	pqmh
𨐆	pqmt
𢗲	pqo
𢡚	pqoa
𢤠	pqoj
