體	bbtwt
亂	bbu
臞	bbug
鼏	bbul
覓	bbuu
脮	bbv
膎	bbvk
髁	bbwd
髃	bbwlb
髑	bbwli
髈	bbybs
骹	bbyck
骯	bbyhn
髓	bbykb
髄	bbykb
骴	bbymp
髗	bbypt
髇	bbyrb
辭	bbytj
骸	bbyvo
賵	bcabu
賜	bcaph
贔	bcbcc
賝	bcbcd
賙	bcbgr	bcb'gr
賱	bcbjj
賏	bcbuc
覭	bcbuu
鑍	bcc
贈	bccwa
罙	bcd
財	bcdh
貱	bcdhe
贘	bcfbc
賧	bcff
贖	bcgwc
鵙	bchaf
鸎	bchaf
賉	bchbt
販	bche
賂	bcher
貶	bchio
貾	bchpm
貹	bchqm
貾	bchvi
戝	bci
賻	bcibi
賐	bcice
賍	bcig
賘	bcigi
賤	bcii
贂	bciih
賊	bcij
賕	bcije
贆	bcikk
贓	bcims
賎	bciq
貽	bcir
肸	bcj
賳	bcjir
賭	bcjka
賩	bcjmf
貯	bcjmn
賄	bckb
賗	bcll
贃	bcllp
贐	bclmt
則	bcln
罕	bcmj
貦	bcmmu
賑	bcmmv
賦	bcmpm
肹	bcms
甖	bcmvn
贉	bcmwj
贍	bcncr
鄍	bcnl
郥	bcnl
賶	bcoir
罌	bcoju
敗	bcok
贁	bcok
賖	bcomd
賒	bcomf
賯	bcpad
貤	bcpd
賰	bcqka
冏	bcr	b'cr
貺	bcrhu
腳	bcrl
脫	bcru
脱	bcru
鼆	bcrxu
朌	bcsh
肦	bcsh
賿	bcsmh
賬	bcsmv
賟	bctbc
贌	bctco
賹	bctct
