𢮀	qlsh
𢼺	qlye
𢵪	qlyk
𪘔	qlymu
𢴾	qlyp
𢫦	qma
𢸹	qmad
𢹥	qmag
𢬎	qmam
𢸲	qmba
𢺞	qmbb
𢷡	qmbd
𢯬	qmbe
𢷛	qmbe
𢺓	qmbg
𢵆	qmbi
𢫮	qmbm
𢳬	qmbm
𢮴	qmbn
𢺰	qmbo
𢹝	qmbr
𢶉	qmbu
𢹩	qmbu
𢸍	qmbv
𢬣	qmcw
𢭳	qmcw
𢭅	qmdf
𢹠	qmdm
𢷋	qmfi
𢱉	qmfm
𢶏	qmfn
𢴓	qmfu
𢪭	qmg
𢸰	qmga
𢸩	qmgd
𢲔	qmgg
𢴬	qmgg
𢫻	qmgi
𢰙	qmgi
𢫛	qmgi
𢴃	qmgk
𢰗	qmgl
𢪁	qmhn
𢰫	qmho
𢬌	qmie
𢬍	qmik
𢰔	qmju
𢶍	qmkm
𢮳	qmlb
𧉉	qmlmi
𢮉	qmlo
𢮮	qmls
𢴦	qmmc
𢶳	qmmd
𢵣	qmmp
𢮔	qmms
𢫚	qmms
𢪞	qmn
𢳗	qmnd
𢵍	qmnd
𢲬	qmnd
𢪰	qmni
𦥆	qmnog
𢱽	qmnp
𢫳	qmoj
𢫲	qmon
𢗣	qmp
𢪦	qmp
𢯞	qmpm
𢲀	qmpp
𢭃	qmrt
𢸊	qmrv
𨁘	qmryo
𢲖	qmsg
𦑓	qmsmm
𢪜	qmss
𢸸	qmtc
𢹎	qmue
𢺕	qmue
𢍣	qmvft
𢪔	qmvm
𢩨	qmvs
𢪑	qmvu
𢺪	qmvv
𢺁	qmwe
𢱾	qmwf
𢹧	qmwi
𢶁	qmwj
𢱼	qmwt
𢳍	qmwu
𢲭	qmwu
𢰳	qmwv
𧔄	qmwyi
𦑢	qmwym
𢩹	qmy
𢳃	qmyf
𢭘	qmyg
𢶘	qmyg
𢪪	qmys
𢩧	qn
