穉	hdseq
穋	hdsmh
釈	hdso
秜	hdsp
秬	hdss
稺	hdsyj
乗	hdt
稓	hdta
簯	hdtc
穙	hdtco
穔	hdtlc
稘	hdtmc
穫	hdtoe
穁	hdtsj
稵	hdtvi
穠	hdtwv
稴	hdtxc
秈	hdu
稯	hduce
秽	hduni	hdun'i
委	hdv
穖	hdvii
番	hdw
稩	hdwb
稷	hdwce
稞	hdwd
稇	hdwd	hdw'd
稛	hdwhd	hdw'hd
稒	hdwjr	hdw'jr
秵	hdwk	hdw'k
釋	hdwlj
穓	hdwtc
穣	hdycv
斅	hdye
秔	hdyhn
科	hdyj
穢	hdymh
稡	hdyoj
秥	hdyr
稿	hdyrb
稕	hdyrd
稤	hdyrf
穰	hdyrv
穜	hdytg
穟	hdyto
稖	hdytr
稸	hdyvw
穧	hdyx
反	he
夂	he
夊	he
篞	heag
簜	heah
篞	heam
盤	hebt
鎜	hec
簗	hecd
条	hed
槃	hed
箥	hede
夈	hefd
垼	heg
箔	heha
灥	hehee
処	hehn
箲	hehu
籓	hehw
簗	heid
簿	heii
箈	heir
务	heks
幋	helb
螌	helmi
磐	hemr
鄋	henl
处	heo
慇	hep
筂	hepd
搫	heq
夅	heq
夆	heqj
各	her
笵	hesu
篊	hetc
鞶	hetlj
媻	hev
縏	hevif
备	hew
惫	hewp
冬	hey
处	hey
褩	heyhv
黏	heyr
黐	heyub
灬	hf
爫	hf
鵿	hfaht
鸔	hfate
筲	hfb
箾	hfbn
