𧭃	qoncr
𢰡	qonk
𢭀	qono
𢵂	qony
𢵄	qooa
𢫹	qooe
𨾚	qoog
𢬕	qoom
𢷼	qoom
𠁊	qooo
𢸟	qooo
𢹦	qooo
𢭢	qoos
𤏠	qootf
𢗤	qop
𢪎	qop
𢫌	qopd
𢬛	qoq
𢬧	qoq
𢲡	qorq
𢷨	qorq
𢰈	qorr
𪓗	qorxu
𢪅	qosh
𢸮	qotd
𢷏	qoto
𢮡	qotq
𢷵	qotq
𢭧	qouu
𢶖	qovo
𡝉	qovv
𢪗	qoy
𢻳	qoye
𢳺	qoyk
𢬖	qoym
𣻃	qoyr
𠅐	qoyv
𣬛	qp
𥁫	qpbt
𢹃	qpdc
𡘱	qpdk
𢭴	qpdk
𢯑	qpeg
𢯖	qpgi
𢩶	qph
𢪥	qphh
𢪱	qphh
𢳼	qphk
𢱮	qpht
𢯡	qpib
𢪟	qpj
𢰄	qpjj
𢪣	qpk
𢪤	qpk
𢫍	qpkk
𢳖	qpmm
𣨰	qpmnp
𢭠	qpok
𢪲	qpp
𢪃	qpsh
𡱩	qpso
𢲄	qptb
𢱳	qptf
𠦴	qptt
𢫤	qpuk
𠂖	qq
𢪒	qq
𢶩	qqai
𢺨	qqai
𢬗	qqd
𢫇	qqe
𢴲	qqhf
𢲞	qqhq
𢰟	qqht
𢪋	qqj
𢹫	qqjpu
𢰦	qqka
𢳨	qqki
𢭏	qqki
𢲃	qqlr
𢬀	qqm
𢷬	qqmi
𢫶	qqml
𢶄	qqoc
𢳆	qqsk
𢮺	qrbu
𣕔	qrd
𢴙	qrdo
𤋒	qrf
𤚹	qrhq
𢬢	qrlb
𢪶	qrms
𤭥	qrmvn
𢹡	qrmx
𢭻	qrno
𢛑	qrp
𢜋	qrp
𢜌	qrp
𢰊	qrri
𢺘	qrrk
