𢯨	qtjb
𢶤	qtjp
𢱗	qtjr
𢳝	qtjs
𢰎	qtjt
𢬈	qtk
𢰶	qtkb
𢹘	qtkq
𢲊	qtks
𢯹	qtlj
𢴁	qtlo
𢸳	qtlx
𢱖	qtmd
𢵎	qtme
𢸻	qtme
𢯒	qtmf
𢯥	qtmu
𢶬	qtnj
𢹵	qtnm
𢴝	qtnu
𢺊	qtob
𢴉	qtod
𢰀	qtof
𢸺	qtof
𢰆	qtoi
𢹕	qtoj
𢮻	qton
𢯘	qtop
𢵗	qtpd
𢶰	qtpp
𢯿	qtpu
𢵘	qtpu
𢵖	qtru
𢹹	qtst
𢪝	qtt
𢲱	qttb
𢹖	qtum
𢱝	qtuu
𢱞	qtuu
𢺇	qtvd
𢰩	qtvi
𢶴	qtvp
𢺝	qtvt
𢺍	qtvv
𢬑	qtw
𢲵	qtwa
𢶯	qtwb
𢵵	qtwd
𢺉	qtwi
𢵫	qtwk
𢸚	qtyj
𢲧	qtyo
𢮷	qtys
𢩳	qu
𢳐	qubn
𢳕	qucb
𢪹	quf
𤍮	quf
𪄯	quhaf
𢶟	quhi
𢶼	quhi
𣪭	quhne
𢹴	quiu
𡙭	quk
𧉒	quli
𢭍	qumb
𩖀	qumbc
𢱟	qumi
𢮹	qumj
𡦑	qund
𨙲	qunl
𢫂	quno
𢳳	quob
𢮶	quok
𢭞	quon
𢹂	quos
𠓆	quqmu
𢶮	qusf
𢮬	quuf
𢷎	quuj
𢹄	quuj
𢰠	quvi
𢀄	quvvu
𢯈	quwy
𢫓	qve
𢮫	qven
𢭵	qves
𢲩	qvfe
𢺥	qvfe
𢺈	qvff
𢭼	qvfh
𢹨	qvfh
𢰹	qvfi
𢺳	qvfi
𢺲	qvfk
𢺯	qvfn
𢷻	qvfo
𢵰	qvfr
𢳏	qvfw
𢯜	qvfy
