𠷧	rimf
𡁧	rims
𠯣	rino
𡄖	riop
𠷄	riou
𠯅	rip
𢙟	rip
𠽬	ripc
𡂘	ripf
𠱌	ripm
𠳓	ripp
𠴆	ripp
𠷂	rirp
𠯖	ris
𠲪	risu
𠹓	risu
𠻊	ritb
𠿳	ritc
𠺳	riua
𡃚	riwg
𡂻	rixe
𡄁	riyd
𧈐	riypn
𧈐	riypu
𠶧	riyr
𠽰	rjao
𠻈	rjav
𠰼	rjb
𡁦	rjbb
𡄙	rjbc
𠵌	rjbm
𠶗	rjbm
𠰽	rjbn
𠱇	rjc
𡁮	rjcb
𡅥	rjcc
𠾯	rjcd
𡅊	rjcd
𠷃	rjce
𠾮	rjch
𡂌	rjch
𠸂	rjck
𠳽	rjcn
𠶥	rjcn
𡃕	rjcn
𠷖	rjco
𠹁	rjco
𠻩	rjco
𠹍	rjcr
𠾘	rjcr
𠴛	rjcs
𡀙	rjcu
𠳼	rjd
𡅂	rjdf
𠱔	rjdi
𠷺	rjds
𠺏	rjem
𠰜	rjfd
𠺀	rjfr
𠷪	rjgr
𪄍	rjhaf
𦪣	rjhby
𡃂	rjhf
𠾰	rjhg
𣃓	rjhml
𡂹	rjhw
𠻏	rjic
𡁶	rjig
𠽢	rjii
𡁳	rjike
𠽡	rjip
𠦫	rjj
𡅫	rjjb
𠽤	rjji
𠿨	rjjj
𡆀	rjjj
𠻃	rjjj
𠼗	rjjl
𠼳	rjjn
𠵣	rjju
𡀑	rjjy
𠴈	rjki
𠱼	rjks
𡃞	rjla
𠶝	rjln
𠻤	rjmc
𡁟	rjmc
𠱶	rjmd
𠵻	rjmf
𠺢	rjmo
𠾙	rjmw
𨞎	rjnl
𡀅	rjoc
𣀌	rjok
𨞏	rjrau
𡁢	rjrbt
𡅅	rjrc
𡁁	rjre
𡁒	rjre
𠽿	rjrj
