𠭤	rrhe
𠴊	rrhr
𧮥	rrhrr
𡃣	rri
𢦸	rri
𡄪	rrig
𥂍	rrikt
𠸶	rrikv
𡀈	rring
𢻪	rrje
𠿠	rrji
𡃹	rrji
𠲂	rrk
𡘜	rrk
𡀋	rrkcv
𡄛	rrkir
𧍨	rrkli
𠼅	rrklv
𠾖	rrkrr
𠷣	rrli
𧒍	rrli
𠁁	rrlm
𠱯	rrm
𠽸	rrmbc
𡅮	rrmbe
𡅔	rrmbe
𡃷	rrmbw
𡆔	rrmcr
𠴔	rrmg
𡅴	rrmhe
𡆉	rrmhe
𢆔	rrmj
𠵪	rrmk
𤕧	rrmkk
𢃋	rrmlb
𡄿	rrmlv
𠼛	rrmmm
𠹣	rrmok
𡀔	rrmr
𩱴	rrmrb
𥖕	rrmre
𡃫	rrmse
𠻰	rrmsm
𧱄	rrmso
𠶬	rrmt
𤬴	rrmvn
𡆛	rrmwg
𡂽	rrmwj
𠸈	rrmyg
𡁥	rrnmu
𪛅	rrnxu
𨾴	rrog
𩀏	rrog
𩁐	rrog
𩁁	rrogr
𩝵	rroiv
𦈯	rroju
𣀬	rrok
𩝵	rromv
𡀓	rroog
𢣉	rrp
𠼿	rrp
𠱠	rrr
𠵬	rrre
𡅝	rrre
𡅾	rrre
𡄃	rrrf
𡍸	rrrg
𠻝	rrrh
𠵀	rrrj
𠹜	rrrm
𠻖	rrrm
𡀉	rrrm
𠾅	rrrrr
𠵛	rrrs
𠼧	rrru
𩜻	rrrv
𠳳	rrsd
𠶻	rrsj
𡅚	rrslg
𡂨	rrslr
𠽽	rrspk
𠴁	rrsr
𡀱	rrsu
𡄉	rrsvk
𤕦	rrsvk
𢍀	rrt
𠽝	rrtbc
𡅻	rrtbr
𡅽	rrtir
𡅱	rrtor
𠁲	rrtt
𡄀	rrtwn
𡷇	rru
𠻌	rrurr
𠼨	rrurr
𡼚	rrurr
𠒅	rruu
𡜓	rrv
𠱐	rrvk
