𠹈	rrwg
𧕦	rrwji
𢠸	rrwjp
𡼯	rrwju
𠾧	rrwlb
𧕛	rrwmi
𡄞	rrwmu
𪛄	rrwnu
𤳧	rrwtc
𡁘	rrwtl
𠳵	rryk
𩫳	rryrb
𠸯	rsav
𠴪	rsbe
𠯔	rsc
𠯕	rsc
𠿍	rsce
𠬱	rse
𠰎	rse
𡁵	rsef
𠼤	rseg
𡄵	rsew
𤏩	rsf
𡃆	rsfa
𡆌	rsfb
𡂣	rsfl
𠵗	rsfmu
𠯄	rshi
𠰾	rshn
𣪆	rshne
𣪉	rshne
𠶩	rshp
𣭖	rshqu
𠰉	rshr
𠳿	rshu
𠴍	rsip
𢻀	rsje
𠻠	rsji
𠺵	rsji
𠺨	rsjp
𠲷	rsju
𠹆	rsju
𠲙	rskni
𠲰	rskr
𣜣	rslbu
𠱸	rsll
𠲬	rsll
𤿱	rslne
𡄦	rslr
𡀿	rslv
𠴵	rsmb
𠼇	rsmb
𠴌	rsmf
𠷲	rsmi
𠽼	rsmm
𠰆	rsmn
𠳠	rsmu
𡁕	rsmv
𠽣	rsmx
𠰤	rsn
𦫩	rsnau
𡥕	rsnd
𨚙	rsnl
𩀇	rsog
𠔦	rsomc
𠵏	rsor
𠤁	rspru
𠰐	rsr
𨜝	rsrau
𠳯	rsrjs
𠹴	rsrl
𡂿	rsro
𡀳	rsrq
𡂶	rsrta
𠰠	rss
𣮱	rsseu
𡀒	rssmh
𠵑	rssr
𠱃	rssu
𠽋	rstr
𠹖	rstv
𠯇	rsu
𡁱	rsuf
𠳚	rsuk
𠲹	rsup
𠮤	rsvs
𡅞	rswt
𢼖	rsye
𧇼	rsypt
𠮽	rt
𠹊	rtaj
𠻶	rtat
𠼼	rtbd
𠿏	rtbf
𡂠	rtbf
𠾎	rtbk
𠷁	rtbn
𡁏	rtbo
𠽾	rtca
𡁖	rtcd
