𠸉	ruhr
𠼾	rujf
𨚼	rukb
𠵶	ruke
𧕵	rulii
𠟎	ruln
𩒇	rumbc
𡀕	rumf
𠵚	rumj
𢁌	rumjc
𢁅	rumjj
𧰑	rumrt
𠹛	rumt
𠲺	rune
𨞍	runl
𨛗	runl
𠼩	ruob
𡄴	ruob
𠵙	ruoi
𩞂	ruoiv
𢼙	ruok
𠳥	ruom
𩞂	ruomv
𢙸	rup
𪓞	rupr
𪓪	rurhg
𡆑	rurk
𢌴	rut
𨞔	rutcu
𨞠	rutcu
𠾨	ruto
𡵒	ruu
𡶸	ruu
𡥺	ruumd
𡄨	ruvk
𠼜	ruwm
𨅩	ruya
𡀢	ruyb
𢻰	ruye
𠻂	ruyr
𠯆	rv
𧿭	rva
𨀏	rvam
𨇬	rvamo
𨅽	rvand
𨆿	rvanr
𨄸	rvaql
𦙃	rvb
𨈍	rvbce
𨂊	rvbgr
𨂘	rvbhg
𨂻	rvbla
𨀍	rvbq
𨂼	rvbso
𨃵	rvbtk
𨁖	rvcor
𨂚	rvctc
𨂕	rvdd
𨅾	rvddd
𨃶	rvdhr
𡁛	rvdk
𨅰	rvdmm
𨆒	rvegj
𨃹	rveiv
𨀹	rvem
𨆺	rvemf
𠸎	rveq
𠴂	rves
𨀾	rvev
𨂖	rveyt
𡆓	rvfa
𠺶	rvfb
𡁰	rvfb
𡆝	rvfb
𨅀	rvfdt
𠺻	rvfe
𡂎	rvfe
𨇾	rvfff
𠴕	rvfh
𠷵	rvfi
𡁇	rvfj
𡃃	rvfj
𡃈	rvfj
𠸣	rvfm
𠶹	rvfn
𡆕	rvfp
𨃪	rvfqq
𠴄	rvfu
𠾼	rvfu
𡅍	rvfu
𡅠	rvfu
𨄴	rvgji
𨁯	rvglc
𨄺	rvgog
𨅿	rvgov
𨇵	rvgun
𨄼	rvhdn
𨄠	rvhdp
𨀐	rvhey
𨅸	rvhgi
