𣤊	sano
𩀦	saog
𡱿	saph
𣆸	sase
𦒆	sasmm
𠥜	savo
𢅦	sbamo
𢃳	sbau
𡲐	sbdu
𠭪	sbe
𥽐	sbfd
𪂪	sbhaf
𪅱	sbhaf
𣃁	sbhml
𣪏	sbhne
𠥒	sbhx
𢄥	sblb
𣤀	sbno
𢽰	sbok
𢅜	sbsmb
𡞒	sbv
𢼞	sbye
𢼿	sbye
𢽪	sbye
𪙇	sbymu
𪙌	sbymu
𦡍	sbytj
𡮺	scf
𡰿	sche
𣪫	schne
𣬮	schqu
𣯰	schqu
𠤰	sci
𠛂	scln
𩔿	scmbc
𣣣	scno
𣤪	scno
𠥛	scrk
𡳨	sdeed
𡳭	sdeed
𤌨	sdf
𡳛	sdgr
𡳯	sdhb
𡲅	sdje
𡳁	sdki
𠟉	sdln
𠟕	sdln
𠥎	sdmq
𨝮	sdnl
𠥂	sdno
𢼪	sdok
𥻫	sdsfd
𦑫	sdsmm
𡥷	sdsnd
𢾂	sdye
𩪔	sebbb
𩪡	sebbb
𧷙	sebuc
𤏿	sebuf
𧢂	sebuu
𣫫	secc
𣘦	sed
𤿳	sedhe
𥀘	sedhe
𦖰	sedl
𡲘	see
𣷗	see
𡱳	sefh
𡏃	seg
𠥋	seha
𤔛	sehlo
𤚉	sehq
𣭼	sehqu
𡱤	sehu
𡰫	sei
𣫥	seile
𡱧	sekn
𢃥	selb
𢅝	selb
𧏔	selig
𠜘	seln
𩒸	sembc
𤦁	semgi
𤦟	semgi
𤩱	semgi
𤭠	semvn
𤭡	semvn
𦜜	seobo
𩛻	seoiv
𩜬	seoiv
𢽷	seok
𩛻	seomv
𩜬	seomv
𠥴	seon
𡒍	seoog
𢟬	sep
𢠬	sep
𡲩	sepp
𢮝	seq
𩮵	sesih
