簾	hitc
魌	hitmc
魐	hitxc
魕	hivii
魓	hiwtj
簏	hixp
魁	hiyj
魖	hiypc
魖	hiypm
魑	hiyub
千	hj
貭	hjbc
质	hjbo
盾	hjbu
箜	hjcm
谸	hjcor
朱	hjd
筞	hjd
圱	hjg
鵯	hjhaf
鷱	hjhaf
鷎	hjhaf
段	hjhne
臿	hjhx
篿	hjii
簙	hjii
籖	hjim
簳	hjjj
簐	hjjo
簵	hjjr
範	hjju
箸	hjka
埀	hjlg
刋	hjln
箑	hjlo
乖	hjlp
顊	hjmbc
簆	hjme
簆	hjmk
箮	hjmm
筦	hjmu
郫	hjnl
箢	hjnu
忎	hjp
鹎	hjpym
舌	hjr
箶	hjrb
管	hjrr
翺	hjsmm
翱	hjsmm
翶	hjsmm
簺	hjtg
垂	hjtm
重	hjwg
夭	hk
昋	hka
晵	hka
簝	hkcf
棨	hkd
沗	hke
叐	hke
鴁	hkhaf
鸄	hkhaf
笅	hkk
勶	hkks
乔	hkll
蚕	hklmi
肇	hklq
笂	hkni
鄓	hknl
筴	hkoo
忝	hkp
懲	hkp
呑	hkr
啓	hkr
喬	hkrbr	hkrb'r
竻	hks
笳	hksr
岙	hku
嶴	hku
綮	hkvif
譥	hkymr
亻	hl
兎	hlai
齃	hlapv
币	hlb
禹	hlbi	hlb'i
質	hlbuc
齄	hldam
斦	hlhml
齅	hlhuk
篮	hlit
齉	hljbv
鼽	hlkn
劤	hlks
筛	hllb
齂	hlle
簰	hllj
箫	hlll
簘	hlll
