𩧓	sftlx
𩢨	sftm
𩢩	sftm
𩣌	sftm
𩦦	sftmt
𩧝	sftmv
𩦟	sftnk
𩦘	sftog
𩤉	sftop
𩥠	sftor
𩦭	sftpd
𩢣	sftps
𩣆	sftq
𩥍	sftqq
𩤀	sfttc
𩦐	sfttr
𩥒	sftvu
𩥒	sftvv
𩦗	sftyj
𩦏	sfuav
𩦲	sfuce
𩥪	sfuhj
𩤚	sfumb
𩤧	sfumf
𩥉	sfumt
𩣞	sfune
𩥘	sfuok
𩧎	sfuos
𩢎	sfuu
𩧂	sfvid
𩦋	sfvii
𩦋	sfvik
𩢒	sfvis
𩢯	sfvou
𩢯	sfvov
𩣃	sfvvu
𩧆	sfvvv
𩤘	sfvvw
𩤸	sfwb
𩤁	sfwhd
𩤛	sfwlb
𩦯	sfwlj
𩢏	sfwll
𩦮	sfwlv
𩥈	sfwot
𩢱	sfwr
𩡭	sfy
𩤢	sfybb
𩧑	sfybp
𩦪	sfycv
𩥮	sfyhm
𩥮	sfykm
𩣖	sfykr
𩣝	sfylh
𩤋	sfymd
𩢭	sfymp
𪚀	sfymu
𩦆	sfynd
𩧣	sfynj
𩥽	sfyod
𩥤	sfyog
𩤏	sfyoj
𩤾	sfypk
𩦢	sfypk
𩤙	sfyrn
𩢬	sfys
𩥆	sfysv
𩥜	sfysv
𩤑	sfytq
𩦳	sfytu
𩥬	sfyub
𩣰	sfyvj
𩣇	sfyvv
𩧤	sfywl
𩡼	sfyy
𩀲	sgbf
𡍱	sgg
𪃮	sghaf
𪅤	sghaf
𡱅	sgi
𩯷	sgi
𠥕	sgit
𧕸	sglmi
𩒑	sgmbc
𠥚	sgne
𨛄	sgnl
𨜘	sgnl
𨞩	sgnl
𠥈	sgno
𣤩	sgno
𩁙	sgog
𢼳	sgok
𦢡	sgoob
𨐧	sgytj
𡰣	sh
𩯾	shaau
𠥁	shac
𩮜	shahn
𩯂	shaiu
𤎘	shamf
