𡰾	slxh
𢼧	slye
𧧃	slymr
𥪨	slyt
𡰱	sm
𡱌	smam
𦑧	smamo
𦑼	smasm
𦐆	smau
𦐲	smba
𢑤	smbdl
𦑿	smbdw
𠬶	smbe
𦑩	smbjj
𦑛	smbme
𢑟	smboi
𢑿	smbrd
𥊇	smbu
𠔐	smc
𦒗	smcwa
𣔿	smd
𦐍	smdk
𠤯	smf
𦒐	smfbk
𦒚	smfbk
𢑱	smfhk
𠥀	smfr
𦒏	smggu
𦒒	smggu
𡱯	smgt
𩾗	smhaf
𩿮	smhaf
𦑠	smhag
𦑀	smhau
𦐷	smhbt
𦐩	smhby
𡕣	smhe
𠭝	smhe
𦐦	smher
𦐣	smhjd
𦒓	smhkb
𦐠	smhpm
𦑮	smhsb
𢩗	smhss
𦐒	smht
𦐠	smhvi
𦐊	smhvp
𦐂	smi
𦑷	smibs
𦑁	smice
𦐗	smikk
𦏵	smip
𦑌	smirm
𦑮	smisb
𢩗	smiss
𦒎	smjip
𦑥	smjka
𦑈	smjlo
𦒨	smjti
𦑐	smjwi
𨍒	smjwj
𦐌	smki
𨞟	smkkl
𦑎	smklu
𦑎	smklv
𠡿	smks
𠁨	sml
𡱻	smlm
𡲝	smlwp
𡲿	smlwp
𦐪	smlwp
𡰥	smm
𡱔	smma
𨢒	smmcw
𦏴	smmd
𠭝	smme
𦒤	smmfb
𦐜	smmfj
𡲃	smmg
𧖉	smmi
𧖏	smmi
𦏹	smmj
𦐧	smmjj
𦑣	smmjx
𠙛	smmkn
𦑾	smmma
𥘐	smmmf
𡱓	smmn
𣕡	smmnd
𡬶	smmni
𠙛	smmnn
𡱕	smmp
𣕠	smmrd
𢍟	smmrt
𦑞	smmrw
𦐟	smmss
𦏻	smmvs
𩈵	smmwl
𡰨	smn
𢏖	smn
