𧅌	takf
𦻒	taki
𩐍	takm
𡖶	takn
𢟽	takp
𠻚	takr
𦷤	taku
𦺽	taku
𡠜	takv
𦺽	takv
𦿉	takv
𧃊	takv
𦴤	talk
𦷣	taln
𦬹	tam
𦳝	tamh
𦳚	tamo
𦻺	tang
𧅶	tani
𦻶	tanj
𦿡	tank
𨛳	tanl
𧄱	tanm
𦽅	tanr
𦼠	tant
𧀲	tanu
𧃁	tany
𦝙	taob
𦰌	taqm
𦰩	taqo
𢤘	tarp
𡳶	tasfv
𠝖	tash
𦶑	tasm
𦒂	tasmm
𦱤	tat
𣊣	tata
𦸩	tatj
𣌞	tatov
𦰇	tav
𦿌	tavf
𦁬	tavif
𦽍	tavl
𦽍	tavn
𦹧	tavt
𦼵	tavu
𩕻	tavvc
𦵆	taw
𦳱	tawl
𦽦	taws
𦼳	tbah
𦮏	tbbb
𧅢	tbbb
𦰹	tbbe
𦳎	tbbm
𦸡	tbbu
𧃛	tbcb
𦰊	tbcd
𧄞	tbcf
𧅅	tbcf
𧀩	tbch
𦯼	tbcj
𦽒	tbcj
𦹱	tbcl
𦯶	tbcr
𦸍	tbcu
𣓝	tbd
𧀬	tbde
𦹮	tbdh
𥀹	tbdhe
𣺩	tbe
𦬣	tbe
𦭼	tbe
𦻩	tbei
𥺠	tbfd
𪓋	tbfd
𪃺	tbhaf
𧂀	tbhc
𦼖	tbhdd
𦾉	tbhf
𧀔	tbhh
𦷒	tbhi
𣃄	tbhml
𦳍	tbho
𣮠	tbhqu
𦬮	tbhu
𦾜	tbhv
𦻿	tbhw
𤰍	tbijb
𤰐	tbijb
𧁡	tbijb
𤟓	tbik
𤠨	tbik
𤡜	tbik
𠕯	tbike
𢻎	tbje
𦭂	tbjp
𦸌	tbju
𠮂	tbke
𧄬	tbke
