𤈉	tcf
𪏋	tcff
𡋍	tcg
𡏳	tcg
𤽽	tcha
𧃃	tchb
𪏦	tchde
𡖂	tche
𪏘	tchjg
𪆁	tchlf
𤮓	tchln
𣤘	tchlo
𪎺	tchmy
𠔮	tchni
𩙁	tchni
𤯭	tchqm
𣮧	tchqu
𪎷	tchqu
𪏝	tchrf
𪏗	tchsb
𪓎	tchsb
𤬓	tchvo
𢧥	tci
𦬘	tci
𪏛	tcibp
𠁝	tcihr
𠔺	tcihr
𧂂	tcii
𪏊	tcii
𪏞	tcikm
𪏢	tcile
𪏤	tcimp
𢚱	tcip
𪏇	tcirm
𪏗	tcisb
𪓎	tcisb
𧄭	tcit
𦰠	tcit
𪏪	tcitc
𦮀	tciu
𠔶	tcjbc
𪏉	tcjmo
𤻓	tckmb
𠔵	tckmr
𢃛	tclb
𧌶	tcli
𠄫	tcll
𦾺	tclo
𠁔	tclws
𤲅	tclwv
𩒓	tcmbc
𪏔	tcmbc
𪎿	tcmbl
𪏃	tcmdf
𤦢	tcmg
𦥄	tcmig
𪏀	tcmig
𪏂	tcmjf
𪎾	tcmjr
𪎹	tcmmu
𩱁	tcmrb
𪏄	tcmrt
𪏅	tcmvm
𤭣	tcmvn
𤭦	tcmvn
𤮏	tcmvn
𦳷	tcmw
𦫡	tcnau
𪏠	tcnbe
𠁜	tcnbs
𡥳	tcnd
𪎻	tcnem
𦯔	tcnh
𡖼	tcnin
𡗄	tcnin
𨝴	tcnl
𨛺	tcnl
𪅾	tcnof
𧃑	tcnq
𦿻	tcog
𨿣	tcog
𪏌	tcog
𢼭	tcok
𠔫	tcos
𢙄	tcp
𢤵	tcp
𦽋	tcpr
𢁀	tcpru
𪎶	tcpu
𧀏	tcpu
𢮜	tcq
𪎴	tcqu
𪏚	tcrbc
𩁂	tcrrg
𢁂	tcru
𥂅	tcrut
𥈄	tcruu
𨂝	tcryo
𦯀	tcsg
𠔴	tcsjr
