𦻜	tepd
𦲉	tept
𦺇	teqh
𦽷	teqt
𦺇	teqy
𦻟	tert
𦾷	tesh
𦘃	tesj
𦶜	tesl
𧄢	teso
𦰫	tesp
𦿭	tetb
𦲍	tetc
𧃾	tetd
𦺍	tetn
𡎊	teug
𧍙	teui
𦼻	teuk
𦴮	teut
𡣐	tev
𦭰	tev
𧃡	tevd
𦵙	tevr
𦴝	tewj
𦰪	tewo
𦺁	teyd
𦶵	teyf
𦶼	teyh
𦯻	teyk
𧮙	teymr
𧁄	teyn
𦴢	teyp
𦹃	teyr
𦲷	teyt
𦼕	tfbd
𧅗	tfbf
𦽗	tfbk
𦺡	tfbq
𦰱	tfbr
𦴔	tfbu
𧡙	tfbuu
𧢖	tfbuu
𦼲	tfbw
𧀜	tfbx
𦵾	tfcb
𦾿	tfdb
𧄝	tfdf
𧅛	tfdg
𦶚	tfdh
𦷥	tfdk
𦺸	tfdq
𦻾	tfeb
𩼮	tfekb
𦭅	tff
𦲌	tff
𦾵	tffd
𦼐	tfff
𦽓	tffj
𦵹	tffn
𦺺	tffn
𧃮	tffq
𦺜	tffs
𪇭	tfhaf
𪈧	tfhaf
𦵒	tfhd
𦽽	tfhk
𣯇	tfhqu
𦲊	tfhs
𦳗	tfhu
𢨝	tfi
𧅃	tfif
𦿝	tfkb
𧆊	tfkf
𦿔	tfkt
𠠕	tfln
𦳼	tfmb
𦮚	tfmi
𨟂	tfnl
𨟗	tfnl
𣣵	tfno
𧂒	tfof
𩁞	tfog
𢝑	tfop
𦶸	tfoq
𦶘	tfql
𩼫	tfta
𩽫	tfta
𦏠	tftgf
𤯏	tftmd
𤒍	tftwf
𡷺	tfu
𦻐	tfyj
𦍌	tg
𦫒	tgav
𦣊	tgb
𦺟	tgbm
𧀶	tgbo
𥃣	tgbtt
𥌵	tgbup
𧢚	tgbuu
