𨦋	tgc
𩱀	tgcb
𩛬	tgci
𦍰	tgct
𦾫	tgde
𧂣	tgde
𥀞	tgdhe
𣴎	tge
𧅥	tgea
𤓉	tgf
𦍚	tgf
𤒿	tgf
𧂔	tgfe
𦎟	tgff
𡙡	tgfk
𩱋	tgfmb
𧅩	tgfq
𦏟	tggni
𡆐	tggrr
𡆒	tggrr
𪅠	tghaf
𪇠	tghaf
𪇼	tghaf
𦏁	tghds
𦍶	tghen
𦍑	tghi
𧕶	tghii
𣂷	tghml
𣂼	tghml
𢐱	tghn
𣰻	tghqu
𦸻	tghr
𦏡	tghs
𠒌	tghu
𪉵	tghw
𧁈	tgid
𤑔	tgif
𦼺	tgig
𦿳	tgig
𦎅	tgiio
𦵟	tgil
𦱰	tgin
𦍛	tginu
𦿖	tgip
𦿋	tgiv
𧃳	tgiv
𧂞	tgjf
𧅹	tgjf
𦶗	tgjo
𠵊	tgjr
𦍸	tgkdi
𩺁	tgkf
𠢄	tgks
𧕴	tglmi
𦎶	tglmp
𠜚	tgln
𠝆	tgln
𠏏	tgmio
𦱾	tgmj
𥂯	tgmt
𤮴	tgmvn
𦍮	tgng
𦲃	tgni
𨞂	tgnl
𦣚	tgobo
𦼜	tgof
𩁘	tgog
𩁢	tgog
𩁣	tgog
𩁤	tgog
𩁪	tgog
𩁬	tgog
𩁮	tgog
𦼛	tgoh
𧃻	tgot
𦮢	tgpi
𦰶	tgpr
𢺋	tgq
𦳻	tgql
𧀺	tgrc
𦷓	tgrf
𦸉	tgro
𦎕	tgtv
𡿊	tgu
𧄍	tgum
𡿤	tgurr
𦷯	tgwg
𧅎	tgwt
𦍡	tgyk
𦎍	tgymr
𦹷	tgyr
𧨅	tgyr
𧮟	tgyrr
𠀗	th
𦰬	thab
𧅷	thad
𣸕	thae
𧄦	thae
𦯑	thaj
𦳓	than
