𦲽	thlo
𦽪	thlw
𩒋	thmbc
𥮌	thmj
𦸙	thml
𦷘	thmp
𧀽	thmt
𦭐	thmy
𦿾	thne
𨟆	thnl
𧂟	thoc
𧸋	thoc
𦱿	thok
𦵌	thok
𧃸	thok
𦲵	thom
𦸇	thon
𦹟	thon
𧁬	thon
𧁮	thon
𧄇	thon
𦻀	thoo
𦬃	thp
𦯚	thpr
𦳞	thqj
𦱒	thqk
𦰥	thql
𦬲	thr
𦷊	thre
𦶀	thrf
𧃄	thrg
𦰺	thrj
𦸈	thro
𦯠	thru
𦶋	thsm
𩢁	thsqf
𦲏	thss
𦬱	tht
𦲢	thtd
𦭊	thti
𦶯	thtt
𧄽	thuc
𧄷	thuf
𦺆	thuj
𦼄	thuj
𦺷	thuu
𦯎	thwe
𦯎	thwk
𦭾	thwl
𦶃	thwp
𦶰	thwp
𧁗	thwt
𧂵	thwt
𦲩	thwu
𦭻	thx
𦲪	thxe
𧄖	thxf
𦵐	thxg
𠦶	thxj
𦱸	thxl
𦻁	thxo
𦴞	thxp
𦷚	thxp
𦯵	thxu
𦱉	thxu
𦻉	thye
𩊶	thylh
𧨁	thymr
𦶢	thyn
𦵝	thyt
𪉤	thywi
𦼎	thyy
𠀖	ti
𢌭	ti
𦬗	ti
𦮌	tib
𦻌	tibt
𧁳	tibu
𨮝	tic
𧀋	tici
𦬸	tid
𣕙	tidci
𧃲	tidd
𧂷	tidf
𧀋	tidi
𦽲	tiev
𧆆	tifb
𦽎	tife
𦵞	tifg
𦿅	tifn
𧲛	tifo
𧂋	tifp
𦵬	tifs
𧂑	tift
𦮲	tifu
𪆆	tihaf
𪇴	tihaf
𪈛	tihaf
𪃖	tihaf
𦸗	tihf
