𦺯	tlnd
𣤬	tlno
𦾭	tlns
𦽌	tlnw
𢼘	tlok
𢿯	tlok
𣁒	tloyk
𣋅	tlpa
𧃞	tlpc
𨬪	tlpc
𡕸	tlpe
𪈏	tlpf
𦿵	tlpk
𤓨	tlpm
𠙨	tlpn
𠙯	tlpn
𡤈	tlpv
𦳳	tlqh
𡳼	tlseu
𦬌	tlsh
𦴲	tlue
𦭩	tlvm
𧁾	tlvo
𦰝	tlws
𦬷	tlxh
𦻹	tlyf
𦻔	tlyk
𧬊	tlymr
𦻥	tlyt
𠥻	tm
𦫺	tm
𦮆	tmae
𦰨	tmae
𤯐	tmanx
𩑪	tmbc
𧀥	tmbe
𧄁	tmbe
𧆑	tmbg
𧀾	tmbh
𦻱	tmbk
𦥈	tmbmg
𧅳	tmbp
𧅑	tmbs
𧢰	tmbuu
𧡔	tmbuu
𧢯	tmbuu
𦭯	tmbv
𦵘	tmbv
𠔏	tmc
𡐳	tmcg
𦸧	tmcg
𦻍	tmcg
𦸨	tmcm
𦲳	tmcn
𦴓	tmcp
𦴖	tmcw
𠯊	tmd
𧂾	tmdd
𢜯	tmdp
𦱃	tmdt
𦽯	tmem
𦇂	tmfb
𧆆	tmfb
𦯘	tmfe
𦲯	tmfe
𤯇	tmff
𦱷	tmff
𧁞	tmff
𦺶	tmfn
𦾑	tmfn
𦵬	tmfs
𦬬	tmg
𧂖	tmgc
𦳙	tmge
𦼓	tmgf
𦿰	tmgf
𦲒	tmgg
𦶾	tmgg
𦴿	tmgi
𧀐	tmgi
𦹙	tmgm
𦲖	tmgn
𠀫	tmh
𪃖	tmhaf
𪅀	tmhaf
𦰘	tmhi
𦰘	tmhm
𦷃	tmhm
𢐯	tmhn
𣫧	tmhne
𩙣	tmhnu
𦴉	tmho
𦾂	tmhp
𤯄	tmhvp
𠀪	tmi
𦵻	tmia
𦰧	tmid
𦱚	tmii
𤯂	tmik
𤯋	tmitf
