𨄭	tmixi
𦍟	tmjg
𤯈	tmjka
𦷔	tmjm
𦮖	tmjo
𦯗	tmjr
𦲆	tmjr
𦬞	tmk
𦹗	tmkc
𦲑	tmke
𦼩	tmkm
𦾳	tmkn
𠢀	tmks
𦬋	tmks
𦻅	tmky
𦲸	tmlb
𦻋	tmlb
𦹆	tmlg
𦭢	tmlm
𦲕	tmlm
𠞊	tmln
𠞱	tmln
𦱼	tmln
𦳲	tmln
𦬛	tmls
𦯄	tmls
𦮉	tmlw
𧁝	tmlw
𦫽	tmm
𦺣	tmmc
𨢚	tmmcw
𦮈	tmmi
𣦀	tmmim
𤮽	tmmj
𤯀	tmmj
𦱯	tmmm
𦼇	tmmp
𦯰	tmmr
𦸭	tmmr
𦱘	tmms
𦹊	tmmt
𦻠	tmmt
𤮿	tmmu
𩉕	tmmwl
𤯅	tmmym
𦴊	tmnb
𦵶	tmnd
𦹡	tmnd
𦶣	tmnf
𧀫	tmnh
𦺐	tmni
𧏤	tmni
𡗂	tmnin
𦭭	tmnl
𦯢	tmnn
𣢟	tmno
𦰸	tmnp
𦶐	tmnp
𦯋	tmnq
𦻢	tmnt
𩺃	tmnwf
𦻰	tmny
𧄙	tmob
𦟎	tmobo
𩀤	tmog
𩁚	tmog
𢎌	tmoip
𩞎	tmoiv
𩞎	tmomv
𦴱	tmon
𦵃	tmop
𧂱	tmot
𦭮	tmow
𤎗	tmpf
𦵏	tmpk
𨚠	tmrau
𦿆	tmrh
𦳵	tmrl
𦷽	tmrl
𦸈	tmro
𦷩	tmro
𧃗	tmrt
𦺫	tmrv
𦭎	tmsl
𦑺	tmsmm
𦭱	tmtj
𦴐	tmtk
𡵽	tmu
𦬂	tmu
𦻳	tmua
𦷜	tmue
𦯿	tmui
𦸘	tmui
𦭃	tmus
𦬀	tmv
𦲘	tmve
𦴃	tmvf
𦬜	tmvi
𦬚	tmvm
𦭈	tmvn
