𦏭	tqymq
𦏫	tqymu
𦻴	tqyo
𦏆	tqytg
𪉤	tqywi
𦏨	tqywv
𦬅	tr
𦮻	trb
𦽊	trbr
𦭜	trc
𨰌	trc
𧁤	trcc
𣚱	trd
𡭊	trdi
𦹖	tref
𦽸	tret
𦏬	trf
𦷆	trfn
𪇜	trhaf
𧪷	trhml
𣯈	trhqu
𦬺	trhu
𧁷	trijj
𧂁	trji
𦮥	trk
𧄈	trkcf
𠟌	trln
𠟗	trln
𠟤	trln
𠟽	trln
𠠈	trln
𠫅	trmad
𧀰	trmb
𧃐	trmb
𩕊	trmbc
𩕸	trmbc
𩕹	trmbc
𦮣	trmd
𧀢	trmd
𦱕	trmr
𨟪	trnl
𧃵	trnot
𧀟	trnst
𦏮	trog
𦳜	trpa
𦮶	trph
𠣷	trpi
𦴫	trrb
𦾈	trrd
𧅧	trrf
𦾆	trri
𧂘	trrk
𧃱	trrk
𧅍	trrk
𦻸	trrn
𡄝	trrr
𧃼	trrr
𧄤	trrr
𦰉	trrs
𦹛	trrs
𦾊	trrs
𦱱	trrt
𥍊	trru
𦯭	trrv
𧁁	trrv
𦽺	trsk
𡆃	trtgr
𦬊	tru
𦸆	truc
𦺈	truc
𧃌	trva
𦱫	trvb
𦲭	trvb
𦺈	trvc
𦷗	trwg
𪓔	trxu
𢿩	trye
𦏯	trymr
𡄰	tryoj
𦽄	tsce
𦺵	tsed
𧅞	tsee
𦼈	tsef
𦸃	tseg
𦼗	tseq
𦻡	tset
𤏊	tsf
𤐂	tsf
𤓘	tsf
𦵱	tsfb
𦵥	tsfe
𧀙	tsff
𧂌	tsfq
𦱲	tsgb
𦬄	tshi
𦭀	tshn
𦴰	tsht
𦿃	tsib
𧀳	tsif
𧄂	tsiv
