衐	hossn
徣	hota
衖	hotcn
徔	hotio
徉	hotq
衜	hotun
従	hotyo
幑	houbk
徽	houfk
黴	houfk
鰴	houfk
徵	hougk
徴	hougk
微	hounk
徾	hourk
微	houuk
媭	hov
後	hovie
衟	hovun
徊	howr	how'r
徹	hoybk
徿	hoybp
徬	hoybs
往	hoyg
彷	hoyhs
衒	hoyin
斞	hoyj
徏	hoylh
徙	hoylo
忀	hoyrv
徸	hoytg
乇	hp
昏	hpa
筍	hpa
箰	hpad
竾	hpd
筷	hpdk
鵖	hphaf
笏	hphh
笉	hpim
氒	hpj
籎	hpko
帋	hplb
剩	hpln
氐	hpm
頿	hpmbc
顖	hpmbc
笉	hpmm
旣	hpmvu
鄎	hpnl
笓	hpp
筚	hppj
笱	hpr
笣	hpru
印	hpsl
卽	hpsl
笹	hpt
篘	hpuu
牛	hq
牜	hq
犦	hqate
筢	hqau
乕	hqb
犋	hqbmc
犅	hqbtu	hqb'tu
看	hqbu
犑	hqbuk
掰	hqchq
筙	hqd
籍	hqda
箨	hqeq
犈	hqfqu
牡	hqg
特	hqgdi
犢	hqgwc
犐	hqhdj
牿	hqhgr
篺	hqhj
犞	hqhkb
牴	hqhpm
牪	hqhq
牲	hqhqm
犇	hqhqq
牦	hqhqu
犏	hqhsb
牴	hqhvi
籀	hqhw
我	hqi
牫	hqi
犙	hqiih
犥	hqipf
犏	hqisb
牻	hqiuh
犆	hqjbm
篲	hqjm
牸	hqjnd
犊	hqjnk
犗	hqjqr
牯	hqjr
篲	hqjs
