𢝖	tvp
𦰰	tvpr
𦱭	tvpt
𦰾	tvpu
𦷸	tvre
𠔃	tvs
𦸱	tvsb
𧁘	tvsi
𦶦	tvsl
𦎛	tvsmr
𦲁	tvsp
𢦊	tvtvp
𦫷	tvu
𦾡	tvuk
𦮁	tvut
𦸛	tvvd
𦮨	tvvm
𧀨	tvvv
𦲣	tvw
𦡾	tvwb
𦰓	tvwj
𦲝	tvwy
𦲨	tvyt
𦴣	tvyv
𤯑	tvywd
𤰻	tw
𣊛	twaa
𧀄	twah
𧕐	twali
𦳢	twb
𣌴	twb
𦹩	twbb
𧄌	twbo
𦽳	twbp
𦴄	twca
𦴠	twcb
𦮄	twcm
𧅲	twdd
𧆘	twdd
𡬭	twdi
𦭁	twe
𦵇	twep
𤋃	twf
𦸠	twff
𣌱	twfh
𧅡	twfr
𦸽	twgf
𣍕	twggu
𦸎	twgi
𪃬	twhaf
𧆕	twhd
𩳄	twhi
𨠫	twiku
𧃏	twio
𢻅	twje
𨣡	twjoa
𦭤	twk
𥝄	twkb
𦳩	twkb
𦴗	twkb
𥂴	twkbt
𦳊	twki
𦹌	twki
𦭉	twkn
𦼤	twkv
𦭖	twl
𦭝	twl
𣊔	twla
𦷹	twla
𦿛	twla
𢅓	twlb
𧀅	twld
𧁣	twld
𦴋	twle
𧀧	twle
𤋂	twlf
𧁦	twlf
𧄾	twlf
𪅇	twlf
𧃣	twlh
𦸑	twli
𦾒	twli
𧂝	twli
𧍣	twli
𧓵	twli
𧔐	twli
𧔭	twlii
𦒃	twlm
𦵺	twlo
𥌱	twlp
𦾋	twlq
𥕗	twlr
𧄯	twlr
𦲿	twls
𧀆	twlt
𧄼	twlt
𥊄	twlu
𥋚	twlu
𦰋	twlu
𦻼	twlv
