𡹫	uisb
𡽟	uish
𡽦	uish
𡸒	uisk
𡶃	uisn
𡻮	uisu
𡾇	uitc
𡻠	uitf
𩟜	uiuuu
𢇕	uiuvi
𢇑	uivii
𡼂	uixp
𡾭	uiyd
𢾫	uiye
𠙷	uj
𡼞	ujal
𡸜	ujbm
𡸽	ujbm
𡹠	ujbm
𡿝	ujbv
𡻜	ujcg
𡼄	ujcg
𡹝	ujcm
𡸕	ujcn
𡹗	ujcn
𡾈	ujcn
𡺴	ujcu
𡼿	ujcu
𡶎	ujd
𤿣	ujdhe
𡼦	ujfk
𪂢	ujhaf
𪈖	ujhaf
𡺀	ujhr
𡽱	ujig
𡴞	ujihu
𡻏	ujihu
𡹿	ujihu
𡼼	ujjb
𡽆	ujjc
𡸗	ujju
𡸲	ujju
𡺐	ujka
𡷸	ujkd
𡶰	ujkp
𠭏	ujle
𡸪	ujln
𡹈	ujlo
𩓤	ujmbc
𡷎	ujmd
𡸶	ujmf
𡹭	ujmg
𡺟	ujmm
𡹦	ujmo
𧯽	ujmrt
𡷗	ujmu
𡦯	ujnd
𡶻	ujnd
𨛟	ujnl
𡸥	ujnu
𡺸	ujpa
𡾢	ujqp
𠰛	ujr
𨛝	ujrau
𡿃	ujrc
𡴩	ujrr
𡼝	ujtc
𡾰	ujto
𡼌	ujtu
𡸳	ujtu
𦫹	ujuj
𡷖	ujwj
𡗖	uk
𦙄	ukb
𡘶	ukdm
𪍾	ukdoe
𡵢	uke
𤏺	ukf
𡉰	ukg
𦪰	ukhby
𠚀	uki
𡵓	uki
𡵦	uki
𠚍	ukii
𡴔	ukii
𤢝	ukik
𪍾	ukjoe
𪈡	ukkf
𡶱	ukki
𡻯	ukkk
𡹛	uklu
𩕣	ukmbc
𦣼	ukmm
𡴿	ukni
𩼡	uknwf
𢢡	ukp
𡻺	ukpb
𢶗	ukq
𡼋	ukre
𡼭	ukro
