𡹶	usav
𠚞	usbbc
𪌨	usdoe
𡷷	use
𡽨	useo
𡼧	useq
𡽈	useu
𤌮	usf
𡾓	usfa
𩿭	ushaf
𡷕	ushu
𡷱	ushu
𡽳	usit
𡽾	usit
𡾤	usjd
𡸘	usje
𡸨	usje
𡼅	usjl
𪌨	usjoe
𡷝	usju
𡶋	uskn
𡴹	usl
𦣟	usll
𠜿	usln
𠝀	usln
𡹙	usmb
𡽢	usmg
𡻪	usmh
𡼢	usmi
𦏿	usmm
𨟎	usnl
𡵸	uso
𢾕	usok
𧸞	usokc
𧒥	usoki
𡷙	usql
𡶅	usr
𡶆	usr
𡴱	usu
𡴼	usu
𡴾	usu
𡷞	usup
𡴰	usvs
𢽅	usye
𢾍	usye
𢌲	ut
𡻟	utak
𡶵	utc
𡺽	utca
𡻸	utcg
𡺬	utct
𡺚	utcw
𡽵	utgi
𡾞	utgs
𡿗	uthd
𡿒	uthd
𡻹	uthj
𡾲	uthj
𣪱	uthne
𡿄	utims
𡶑	utm
𡸷	utmc
𧯶	utmnr
𡽮	utnf
𡹰	utnh
𩀡	utog
𡻘	utqt
𦒀	utsmm
𡻉	uttb
𧰙	utvii
𧰙	utvik
𡽇	utwb
𡿋	utwi
𡼓	utwk
𡽍	utwt
𡽝	utyb
𡿚	utye
𡿟	utye
𡳾	uu
𡴳	uu
𦿑	uuaau
𦶛	uuauu
𣍧	uub
𩨳	uubbb
𨌗	uubjj
𧷵	uubkc
𧵠	uubuc
𥺋	uucd
𡽀	uuce
𡴚	uuch
𡸐	uuch
𡷬	uucms
𠚐	uud
𣐯	uud
𦲬	uudd
𣞆	uuddd
𦽣	uudfo
𡾕	uueah
𡭧	uuf
𤎸	uuff
