𡠳	vanh
𡣟	vanj
𡢄	vank
𡠕	vano
𡢸	vant
𡣽	vanx
𡡔	vase
𡝕	vaum
𡢚	vaws
𡡡	vayf
𡟄	vayt
𡞇	vbb
𡡞	vbbq
𡝆	vbcr
𡝦	vbdu
𤏕	vbff
𡝇	vbg
𧠇	vbhu
𢧠	vbi
𤟒	vbik
𦠄	vbik
𢑩	vblb
𨽽	vble
𠜊	vbln
𠞜	vbln
𠞤	vbln
𨡓	vbmcw
𡡗	vbnb
𡟰	vbni
𩺈	vbnwf
𡜃	vboo
𢠀	vbp
𡛾	vbq
𢑦	vbshr
𥁅	vbt
𡜜	vbtt
𦙌	vbu
𡤬	vbue
𡢞	vbuv
𡡆	vbuv
𢑥	vbwd
𢑭	vbwhb
𡛓	vby
𡚭	vc
𠦺	vcfq
𡟆	vcht
𡟸	vcim
𢑓	vck
𢑞	vcmnb
𧱈	vcmso
𡣣	vcmu
𨝉	vcnl
𡠶	vcpi
𡡑	vcwa
𡢲	vdbc
𥁨	vdbt
𡢾	vddf
𡢟	vddo
𪅕	vdhaf
𪇱	vdhaf
𪀮	vdhaf
𡛡	vdhe
𥸸	vdk
𠢶	vdks
𡣒	vdll
𠟾	vdln
𡞸	vdln
𡞫	vdmf
𡤟	vdmrr
𣡳	vdnig
𣤰	vdno
𦝍	vdobo
𡣰	vdow
𡠫	vdoy
𡜺	vdr
𠞰	vdsh
𠟿	vdsh
𡝋	vdv
𡞓	vdv
𢀌	vdvvd
𣀝	vdye
𢀋	vdypb
𧈊	vdypn
𢀊	vdypo
𧈊	vdypu
𩫥	vdyrb
𢑾	veate
𦛫	veb
𦛬	veb
𥃍	vebt
𥃎	vebt
𥅄	vebu
𨥬	vec
𡝾	vecj
𤿴	vedhe
𡠏	veed
𡡺	veee
𪏷	vehde
𢃂	vehhb
𢒚	vehhh
