𢂬	vehlb
𠙡	vehn
𣭄	vehqu
𣱂	vehqu
𡠁	veii
𢀁	veikk
𧉭	velmi
𩓪	vembc
𡝛	vemu
𢂭	venib
𡣄	venm
𨾯	veog
𡡥	vesd
𢂟	veslb
𡝓	vev
𧘽	veyhv
𪗭	veymu
𥿀	vfa
𥫅	vfaat
𦁠	vfab
𦅿	vfabj
𦄡	vfabs
𦃻	vfalo
𦁽	vfamg
𦁺	vfan
𦅘	vfana
𦅤	vfank
𦇾	vfanr
𦄞	vfanr
𦆿	vfate
𦆴	vfavf
𦆅	vfaws
𦅡	vfayf
𥾶	vfb
𦣏	vfb
𦃼	vfbac
𥾞	vfbb
𩪾	vfbbb
𦆔	vfbbe
𦄮	vfbbr
𡡢	vfbd
𡤭	vfbf
𡠠	vfbg
𦅂	vfbhf
𦁍	vfbhg
𥿒	vfbhm
𥾚	vfbhn
𡙀	vfbk
𡡹	vfbk
𦆢	vfbkn
𦂴	vfbku
𦁍	vfbmg
𥾢	vfbmm
𦄘	vfbmo
𡞀	vfbr
𥿑	vfbt
𦁀	vfbuc
𡣖	vfbv
𦇌	vfbwe
𨭔	vfc
𦇮	vfchg
𦄈	vfcln
𦃁	vfcrl
𦃛	vfcrl
𦆳	vfcuu
𦁃	vfcw
𣠋	vfd
𦄗	vfdbc
𦇕	vfdbk
𦀹	vfddi
𦄏	vfdfb
𥀺	vfdhe
𥿉	vfdj
𦇛	vfdlc
𩏹	vfdmq
𦁼	vfdok
𡞱	vfdv
𠮓	vfe
𦄇	vfeag
𥾤	vfee
𦀁	vfeee
𦄥	vfeep
𦀛	vfefh
𦃐	vfeii
𦄽	vfesd
𠮖	vfevu
𤓖	vff
𥾗	vff
𡤰	vfff
𦆱	vfffd
𦇝	vffff
𦃖	vfffn
𦂏	vffhd
𦅌	vffqf
𦂙	vffqg
𦀭	vffr
𡡯	vffs
𦇊	vffuj
𥾘	vfg
𥿛	vfgb
