𦀾	vfid
𦇑	vfidq
𦇺	vfidy
𦇰	vfifo
𦀐	vfig
𦄅	vfihf
𥿵	vfihq
𦄤	vfihs
𦄺	vfiib
𦅍	vfiif
𦀫	vfiik
𦂧	vfiil
𦅒	vfiip
𦆍	vfijo
𦅺	vfikt
𦄢	vfilb
𦁶	vfilo
𦀋	vfime
𥾐	vfip
𦇘	vfipd
𥿮	vfipm
𦂅	vfird
𦆃	vfiro
𦄒	vfisb
𦆲	vfish
𦇁	vfisk
𥿋	vfit
𦆆	vfitc
𦂀	vfite
𦄝	vfitf
𦆉	vfixf
𦁦	vfiyr
𥾅	vfj
𦆯	vfjac
𥾧	vfjb
𦈃	vfjbv
𦇅	vfjcc
𦄔	vfjcg
𦂽	vfjck
𦁈	vfjcm
𥿾	vfjdi
𦂿	vfjds
𥾣	vfje
𦆥	vfjei
𦂦	vfjhr
𦅞	vfjiv
𦆕	vfjjf
𦂂	vfjkn
𦁖	vfjlw
𦂨	vfjma
𦅜	vfjmn
𦃲	vfjmo
𦆋	vfjoc
𦄲	vfjow
𦆭	vfjpn
𥿍	vfjr
𦄎	vfjse
𦆼	vfjti
𥿽	vfjv
𦅎	vfjwf
𦁆	vfjwi
𨏶	vfjwj
𦀺	vfjwj
𦃏	vfkce
𦆖	vfkcf
𦃏	vfkde
𦅁	vfkja
𥿭	vfkki
𦄍	vfkkk
𥿠	vfklb
𦁏	vfklu
𦁏	vfklv
𦁨	vfkly
𦀊	vfkn
𦇦	vfkoc
𦄂	vfkpb
𦃣	vfkrb
𣣜	vfkso
𦁑	vfktj
𦂡	vfktq
𦆊	vflag
𦅱	vflid
𦀵	vfll
𥾖	vfllu
𧑿	vflmi
𦃠	vflmw
𠛩	vfln
𢀐	vflpn
𦁅	vflsh
𥾴	vflu
𪈜	vflvf
𦂈	vflwb
𦀔	vflws
𦁰	vflwt
𦇷	vflwu
𦆷	vflyb
𦄕	vflyg
𦅏	vfmbb
𦇼	vfmbi
𦅙	vfmbk
