𦇬	vfomb
𦄱	vfome
𦁌	vfomi
𦁸	vfoml
𦅖	vfomm
𥾨	vfomn
𦁇	vfomp
𦁤	vfomp
𦃹	vfomr
𥿐	vfoms
𦀢	vfono
𥾺	vfoo
𦅊	vfooa
𦅮	vfooj
𦆧	vfoom
𦇈	vfoom
𥿞	vfopd
𦀅	vfoq
𦆞	vfotq
𥾪	vfoy
𥾾	vfoy
𢢷	vfp
𢥩	vfp
𥾉	vfp
𥿂	vfp
𥿻	vfpa
𥿴	vfpd
𥾸	vfphh
𦁕	vfphp
𥾡	vfpim
𦁯	vfpkk
𦆦	vfpko
𥾡	vfpmm
𦁮	vfpmm
𦁁	vfpng
𦂄	vfppa
𦀘	vfppg
𧮌	vfpru
𥾛	vfpsh
𦃥	vfpuu
𦃥	vfpuv
𦃫	vfpyu
𥾹	vfq
𦄜	vfqhf
𥾫	vfqj
𦄑	vfqjm
𦇀	vfqjp
𦀳	vfqki
𦄑	vfqks
𦄃	vfqlr
𥾒	vfqn
𦅦	vfqoa
𦅋	vfqop
𡡀	vfqu
𥾑	vfqu
𥾱	vfqu
𡟒	vfqv
𦄹	vfqyj
𡅀	vfr
𦀕	vfrau
𥿗	vfrc
𦀚	vfrhg
𥿓	vfrlr
𦀚	vfrmg
𦃴	vfrpw
𦄛	vfrrw
𦄶	vfrtl
𦂝	vfrvb
𦃷	vfsat
𦆜	vfseo
𦄪	vfsfm
𠠪	vfsh
𦄒	vfshb
𦅉	vfshb
𥾠	vfshc
𥿷	vfshi
𦫲	vfshu
𦀿	vfshu
𦀩	vfsje
𦃸	vfsjf
𦃎	vfsji
𦂫	vfsjl
𦀲	vfskr
𦆠	vfslc
𦃄	vfsly
𦃌	vfsme
𦅀	vfsmi
𦅛	vfsmi
𥿆	vfsmr
𦁢	vfsmv
𥿲	vfsng
𦃶	vfsog
𥿡	vfsp
𦂋	vfspd
𦄀	vfsqf
𦀨	vfsql
𦄄	vfsrl
𦂘	vfssd
𦀯	vfssr
𦂤	vfstt
