𤕰	vmlln
𤕷	vmlmo
𤕫	vmm
𤕬	vmm
𡠂	vmma
𦈡	vmmbb
𤖥	vmmbm
𤖦	vmmbo
𨟻	vmmcw
𦈋	vmmcw
𡛭	vmmf
𤖢	vmmhm
𡣜	vmmk
𤕻	vmmmr
𦈊	vmmoo
𡢇	vmmp
𢑡	vmmpo
𧰲	vmmso
𦈑	vmmwg
𤖤	vmmwk
𤖙	vmmwt
𧢼	vmnbg
𤖝	vmncr
𡛃	vmni
𡠸	vmnj
𤕶	vmnmc
𢑣	vmnok
𡛦	vmob
𦈜	vmogd
𤕵	vmoii
𤕺	vmok
𤖚	vmokm
𤕵	vmomi
𦈕	vmomn
𤕼	vmook
𤕴	vmopd
𡟔	vmor
𤕮	vmpd
𢪇	vmq
𤖓	vmqmc
𡢓	vmrb
𡟽	vmrg
𤖞	vmrji
𡢩	vmrk
𡟵	vmrr
𦈝	vmrvc
𤕱	vmse
𤖗	vmsim
𦈙	vmsje
𦈗	vmsly
𡝍	vmso
𩡽	vmsqf
𤖟	vmsrj
𦈞	vmsrj
𤖋	vmssl
𡛖	vmsu
𡛣	vmsu
𠮅	vmte
𤖐	vmthb
𤖖	vmtmc
𤖁	vmtmj
𡜇	vmtn
𦈘	vmtor
𡚲	vmu
𡡖	vmua
𡟺	vmue
𡣧	vmwc
𤖇	vmwd
𡞻	vmwg
𤖃	vmwg
𢑷	vmwib
𦈓	vmwmv
𡠇	vmwp
𡞎	vmwr
𤖄	vmybl
𤖊	vmybu
𤖈	vmync
𦈐	vmypq
𡛔	vmys
𤖌	vmysd
𠃑	vn
𠄍	vn
𡤡	vnat
𡜆	vnau
𡞵	vnbk
𨨬	vnc
𡣁	vnda
𡝹	vndt
𡞷	vnef
𡠮	vnef
𤉩	vnf
𤋴	vnf
𤎁	vnf
𤎾	vnf
𥟜	vnhd
𥟸	vnhd
𠁾	vni
𡚵	vni
𡠤	vnii
𡤹	vnii
