𠚋	vvuq
𡿹	vvurl
𡟠	vvuv
𡡊	vvvd
𡿾	vvvg
𡣦	vvvi
𡟗	vvvk
𡜣	vvvm
𡿧	vvvm
𠚴	vvvn
𡜏	vvvn
𡢆	vvvp
𡢹	vvvs
𡜪	vvvu
𡿭	vvvvv
𥝁	vvwkb
𥜿	vvwlb
𡿼	vvwlj
𧥥	vvymr
𨡰	vwbt
𤳤	vwbvk
𤱾	vwdk
𡣫	vwgg
𡣃	vwib
𤳲	vwijo
𤠪	vwik
𤳯	vwitf
𪋍	vwixp
𤲑	vwjmn
𡟯	vwkp
𡣈	vwla
𡤢	vwlg
𡟏	vwli
𡢊	vwlk
𡣬	vwlk
𡣱	vwlv
𤱹	vwmn
𨿴	vwog
𤱽	vwqo
𡛸	vws
𡜼	vwsl
𡣡	vwss
𤳫	vwsyj
𡠲	vwtc
𡠚	vwtj
𡤯	vwwf
𤴅	vwypt
𤍻	vxf
𠨅	vyaw
𡜕	vyb
𡢤	vybb
𡡿	vybr
𠧡	vybu
𡢧	vybu
𡡬	vydk
𡤅	vydu
𡤋	vyem
𡤉	vyhc
𡟴	vyhr
𡠻	vyhr
𡝥	vyid
𡝃	vylh
𡞚	vymb
𡜔	vymf
𡢋	vymm
𡠔	vymn
𡠡	vymn
𡡸	vymn
𡛨	vymy
𡠙	vynb
𡝵	vyoj
𡟣	vypb
𡢍	vypc
𡢙	vypi
𡢢	vypk
𡣭	vypp
𡠀	vyrb
𡣛	vyru
𡟓	vyrv
𡡍	vyso
𡛩	vyt
𡡫	vytc
𡞘	vytv
𡜋	vyvu
𡞙	vyvu
𡜿	vyw
𠧱	vywe
𠧟	vywk
𡤲	vywl
𠧴	vywo
𠧠	vyws
𡣙	vyx
𡣪	vyyb
𣅍	wa
𤳠	wapa
𡇼	wapv
𡇃	wau
𤰾	wb
𪆌	wbbhf
𥁰	wbbt
