𠆛	yarj
𩑇	yarre
𩐶	yarur
𩐦	yarut
𩑉	yasfp
𩐩	yaskr
𨓙	yat
𩐻	yatak
𩐠	yatc
𩑃	yatcd
𩑀	yatco
𩑄	yatmd
𩐺	yatmm
𩑂	yawli
𩐟	yayck
𠘉	yayf
𨗈	yayf
𧙴	yayhv
𩐡	yaymf
𩐹	yaynb
𩐮	yaypj
𧙬	yayv
𨙣	ybaf
𠨈	ybamb
𨖦	ybat
𨤐	ybbd
𧇇	ybbm
𥂡	ybbt
𧷮	ybbuc
𧞥	ybbv
𠧶	ybce
𠧿	ybco
𧮲	ybcor
𠆘	ybcrv
𠗡	ybd
𠨇	ybd
𣜅	ybd
𩫋	ybdhe
𠭉	ybe
𣦻	ybe
𧆤	ybe
𥹟	ybed
𩔒	ybemc
𠧼	ybeo
𨘩	ybff
𧈒	ybfni
𡋪	ybg
𪄱	ybhaf
𪄲	ybhaf
𪅆	ybhaf
𪆹	ybhaf
𪈄	ybhaf
𨘷	ybhc
𨖿	ybhf
𥹄	ybhfd
𨓮	ybhg
𢒌	ybhhh
𩫝	ybhhj
𩫔	ybhjv
𤔟	ybhlo
𠅢	ybhp
𣯵	ybhqu
𩫁	ybhqu
𨘅	ybhs
𩫆	ybht
𩫬	ybhul
𧙙	ybhv
𧛨	ybhv
𨗿	ybhv
𤬝	ybhvo
𩫙	ybhxh
𩫅	ybi
𢋠	ybihm
𩫦	ybiih
𤡎	ybik
𢅛	ybikh
𡯶	ybiku
𪚊	ybiku
𢅛	ybiuh
𠆍	ybjbc
𣦲	ybjet
𦓄	ybjkp
𥜽	ybkb
𩪿	ybkni
𠢗	ybks
𢝃	yblbp
𧓚	yblii
𧖁	yblii
𠛯	ybln
𠜐	ybln
𠜔	ybln
𠞶	ybln
𠚷	ybln
𣦵	ybm
𩔍	ybmbc
𩕴	ybmbc
𩫢	ybmbc
𠧯	ybmc
𧷁	ybmcc
𠨌	ybmff
