𩖓	ychwj
𨑪	yci
𡰐	yciku
𨑷	ycj
𠲩	ycjr
𨏞	ycjwj
𡙩	yckoo
𨗾	yckq
𠅕	yckv
𧔪	yclmi
𠞑	ycln
𠟓	ycln
𠠟	ycln
𨗕	ycmt
𧘙	ycmv
𤮆	ycmvn
𨜓	ycnl
𨝳	ycnl
𠅾	ycnru
𣷖	ycoe
𢼜	ycok
𢿓	ycok
𢗻	ycp
𢥫	ycp
𢥮	ycp
𢥹	ycp
𢥿	ycp
𨒄	ycr
𧷞	ycrbc
𨓚	ycru
𪓖	ycrxu
𨀶	ycryo
𠖲	ycsh
𧘠	ycshv
𢌸	yct
𣦄	yctm
𥾻	ycvif
𢿡	ycye
𧇠	ycyhn
𠅯	ycync
𠅅	yd
𨓳	yda
𨖚	ydaf
𨒪	ydb
𨗷	ydbb
𨖒	ydbc
𨓸	ydbq
𥌟	ydbu
𧡿	ydbuu
𣕟	ydd
𥀏	yddhe
𨓣	yddi
𡥹	yddk
𡦚	yddl
𧝺	yddv
𤈀	ydf
𡍼	ydg
𪆶	ydhaf
𡦟	ydhhj
𣂺	ydhml
𣫋	ydhne
𣮢	ydhqu
𣮭	ydhqu
𣰮	ydhqu
𠆔	ydhxu
𢧶	ydi
𤰎	ydilb
𢨊	ydirm
𨟞	ydjal
𢻓	ydje
𩐾	ydje
𡦡	ydjka
𨑣	ydk
𡦦	ydkif
𨔣	ydkr
𨘱	ydld
𤗟	ydlll
𤗟	ydlln
𠟇	ydln
𠟫	ydln
𩫡	ydmam
𨔻	ydmb
𩔢	ydmbc
𤨗	ydmgi
𤪇	ydmgi
𨕹	ydmm
𨘇	ydmq
𤭞	ydmvn
𡗋	ydnin
𨛌	ydnl
𨜎	ydnl
𨝘	ydnl
𨞹	ydnl
𨟣	ydnl
𨔼	ydod
𨿡	ydog
𢾉	ydok
𪆝	ydokf
𨐻	ydomo
𨔱	ydoq
