𢀮	ydss
𨘨	ydta
𪏆	ydtlc
𪏆	ydtmc
𨔤	ydts
𧰄	ydumt
𡟕	ydv
𨕜	ydvo
𨗐	ydwa
𨙠	ydwa
𢽫	ydye
𥽽	ydyhm
𥽽	ydykm
𠆓	ydyok
𡦨	ydypn
𠆞	ydywm
𣱵	ye
𨑾	ye
𣈉	yea
𨓬	yea
𢻿	yeb
𠠋	yebcn
𧇈	yebm
𥁽	yebt
𧷧	yebuc
𨰢	yec
𨑱	yee
𨔇	yeep
𧚰	yeev
𥺤	yefd
𡎙	yeg
𡐍	yeg
𡓝	yeg
𡋹	yeg
𤚜	yehq
𤬂	yehvo
𢽂	yeiav
𤟏	yeik
𧇉	yejr
𠡡	yeks
𠡹	yeks
𢂺	yelb
𢃝	yelb
𧊯	yeli
𨖳	yell
𢤰	yelmp
𢤕	yelyp
𨓔	yemb
𣾢	yembc
𧆶	yemjs
𥓍	yemr
𨓎	yend
𣢻	yeno
𩜨	yeoiv
𩜨	yeomv
𦖥	yesj
𠭘	yett
𠭮	yett
𪚆	yeymu
𧇝	yeypn
𧇝	yeypu
𨑯	yf
𦚍	yfb
𣤎	yfbo
𧠪	yfbuu
𡬧	yfdi
𡬱	yfdi
𥉆	yfebu
𥛬	yfefd
𨗄	yfff
𠘔	yffh
𨖉	yfft
𡣹	yffv
𡋬	yfg
𪀖	yfhaf
𪃚	yfhaf
𡮗	yfhf
𢒦	yfhhh
𢒭	yfhhh
𩘁	yfhni
𤇯	yfhv
𢧍	yfi
𢧡	yfih
𤣏	yfik
𡰔	yfiku
𡰜	yfiku
𪆩	yfiuf
𪗓	yfjbe
𢻃	yfje
𠦮	yfkj
𠡽	yfks
𡰗	yfku
𨽾	yfle
𧖠	yflmi
𦅐	yfmbc
𩒛	yfmbc
𠅮	yfmmu
𨒺	yfmu
𣄵	yfmvu
𣄶	yfmvu
