𤋈	ykf
𡌼	ykg
𡒋	ykg
𡒱	ykg
𨕎	ykgr
𪙯	ykgu
𪆃	ykhaf
𣁫	ykhbt
𨖢	ykhg
𠙇	ykhn
𠙟	ykhn
𩖣	ykhni
𣁄	ykhq
𪉃	ykhsm
𨓫	ykid
𨗑	ykig
𣁠	ykilb
𨘃	ykjr
𨏾	ykjwj
𨓇	ykkb
𠅫	ykkn
𠠼	ykks
𠢅	ykks
𠢍	ykks
𢄧	yklb
𨒸	ykld
𧌱	ykli
𧏅	yklmi
𧐈	yklmi
𠜅	ykln
𠷗	ykmhr
𨓾	ykmr
𨔙	ykmr
𨕏	ykmw
𣁡	ykmwf
𣁇	ykmym
𣦤	ykmym
𨑍	ykn
𡥮	yknd
𣁃	yknf
𨜻	yknl
𩵳	yknwf
𩺯	yknwf
𨿤	ykog
𩀥	ykog
𩜢	ykoiv
𩞤	ykoiv
𦉧	ykoju
𨕾	ykok
𩜢	ykomv
𩞤	ykomv
𣁑	ykoyg
𢞾	ykp
𢥲	ykp
𣁆	ykph
𣁈	ykpru
𢳈	ykq
𨒐	ykr
𧜯	ykrdv
𦐑	yksmm
𣁥	yksmt
𩢌	yksqf
𦏎	yktgr
𩍷	yktlj
𦍢	yktq
𨔶	yktq
𡼖	yku
𡵡	yku
𧯺	ykumt
𡝶	ykv
𪐰	ykwgf
𥐂	ykwlb
𧝗	ykyhv
𣁕	ykykk
𣁎	ykymr
𨕺	ykyr
𡖵	ykyr
𥂣	ylbt
𨑻	ylbu
𧹂	ylbuc
𨕟	ylce
𢣫	ylcp
𨘒	yldv
𡋈	ylg
𨕨	ylgh
𪅪	ylhaf
𩫮	ylhhj
𨒷	yli
𨗗	ylib
𠅊	ylj
𨕛	yljh
𨔂	yllw
𨔥	ylmh
𨓖	ylmp
𣥫	ylmu
𣦋	ylmu
𨓢	ylmu
𨘠	ylmv
𨓿	ylmy
𠚩	yln
