𨟬	ylnl
𨑝	ylo
𧋲	ylpi
𠅭	ylpn
𧚹	ylpv
𨟩	ylrau
𡣎	ylv
𣕏	ylwd
𨒧	ylwp
𨙛	ylwto
𧙏	ylwv
𨒉	ylxh
𨓯	ylxl
𩇰	ylyo
𧜏	ylyv
𣥜	yma
𨒹	yma
𤉭	ymaf
𣥶	ymalh
𣥘	ymau
𣥦	ymav
𨔞	ymbc
𨖛	ymbd
𨙉	ymbe
𨙤	ymbe
𨘾	ymbg
𨗠	ymbi
𨗺	ymbi
𣥑	ymbil
𨒩	ymbl
𧇣	ymbm
𨖜	ymbs
𧸾	ymbuc
𧠛	ymbuu
𨖝	ymbv
𨘍	ymbv
𨭉	ymc
𧙰	ymcv
𣏔	ymd
𣥣	ymdhe
𨘸	ymdm
𩏣	ymdmq
𣑾	ymdr
𧘘	ymdv
𠭓	yme
𠭯	yme
𣥾	ymea
𣥸	ymebu
𠗇	ymf
𣦒	ymfcb
𡚋	ymfhk
𣦉	ymfhu
𧜸	ymfv
𨘀	ymgc
𣥻	ymgce
𠅪	ymgg
𣥮	ymgg
𨖹	ymgg
𨨾	ymggc
𨓡	ymgt
𣦩	ymgte
𧘦	ymgv
𩾰	ymhaf
𪆛	ymhaf
𧖭	ymhbt
𠧔	ymhe
𣥷	ymhel
𤎴	ymhhf
𩴥	ymhi
𠦋	ymhj
𣦜	ymhkb
𠧣	ymhml
𣂸	ymhml
𣥍	ymhml
𤎵	ymhnf
𣥪	ymhnl
𦒕	ymhnm
𣥡	ymhqu
𩴛	ymhui
𪖸	ymhul
𣥏	ymhv
𤌺	ymhyf
𣦃	ymhyh
𨒬	ymig
𣦭	ymihu
𠦀	ymj
𣦈	ymjka
𣥱	ymjlk
𣦅	ymjmf
𨔨	ymjx
𣥯	ymkb
𠢻	ymks
𣥈	ymlb
𧉘	ymlmi
𧕼	ymlmi
𧖢	ymlmi
𣥗	ymlmm
𠚻	ymln
𠜶	ymln
𠟞	ymln
