𣦕	ymylm
𣥌	ymym
𨒌	ymym
𢡬	ymymp
𣦟	ymytg
𠧒	yn
𣊑	yna
𦣖	ynaaa
𨖶	ynao
𨒶	ynau
𨓜	ynau
𧇅	ynba
𧇻	ynbac
𨓝	ynbb
𣨷	ynbbr
𧇛	ynbdi
𧈜	ynbff
𨓨	ynbg
𧇟	ynbgr
𧇌	ynbmr
𨖣	ynbo
𨓨	ynbq
𣨏	ynbve
𨭞	ync
𨗧	yncr
𣜄	ynd
𧈇	ynddh
𧆯	yndh
𨔌	yndo
𣑅	yndr
𨒓	yndy
𣦼	yne
𣲊	yne
𤓤	ynf
𤍋	ynf
𩦶	ynfqf
𡑤	yng
𣋿	ynga
𨔚	yngg
𨕿	yngg
𧈙	yngni
𧇤	ynha
𧆽	ynha
𩾤	ynhaf
𪂬	ynhaf
𥢵	ynhd
𩡑	ynhda
𧇯	ynhdd
𧇸	ynhdf
𧇮	ynhdr
𧆼	ynhey
𣧕	ynhk
𣂳	ynhml
𠙑	ynhn
𣪢	ynhne
𣨖	ynhom
𣨯	ynhpa
𩲋	ynhui
𦣉	ynhxe
𪛀	ynhxu
𨑚	yni
𠅣	ynice
𨑦	ynin
𨓥	yniw
𧇒	yniym
𠅂	ynj
𣧮	ynjr
𧇡	ynjr
𧆻	ynjr
𧈑	ynjue
𧆬	ynkn
𠅶	ynkni
𠡖	ynks
𨑩	ynl
𨔳	ynlb
𠘓	ynlm
𨗎	ynlo
𦘖	ynlq
𧘨	ynlv
𩑨	ynmbc
𨔡	ynmo
𧇭	ynmpm
𧈄	ynmue
𠅹	ynmvi
𨑎	ynn
𨑐	ynn
𨕖	ynnc
𧆰	ynnd
𠧽	ynnif
𨛵	ynnl
𣣍	ynno
𣩕	ynnwf
𩼊	ynnwf
𪛀	ynnxu
𠖮	yno
𣦸	yno
𦚛	ynobo
𨾒	ynog
𧇚	ynoha
𩚻	ynoiv
