𧨕	yrnau
𧭦	yrnbe
𧨖	yrnbg
𧬦	yrndd
𧪾	yrndf
𧩌	yrndt
𧪣	yrnef
𧩦	yrnem
𧦽	yrnf
𧩖	yrngg
𡖡	yrnin
𧦃	yrnin
𧦨	yrniy
𧨓	yrnka
𧩙	yrnkm
𧨽	yrnli
𧦒	yrnm
𧨹	yrnme
𧩩	yrnmk
𧩿	yrnnc
𣢤	yrno
𣣊	yrno
𣣱	yrno
𧬋	yrnoe
𢚟	yrnp
𧧇	yrnsd
𧩷	yrnup
𧭷	yrnwa
𠓬	yro
𧦜	yrof
𧧂	yrof
𨿦	yrog
𩀖	yrog
𧫟	yrogk
𧫧	yroiw
𢿶	yrok
𠆂	yrol
𧦺	yrom
𧭆	yromb
𧧶	yromd
𧪺	yroml
𧥷	yromn
𧨂	yromr
𧫧	yromw
𧪢	yrond
𧩨	yronk
𧩀	yronn
𧥰	yrons
𧦁	yroo
𧬢	yrooa
𧨀	yroog
𧭯	yroom
𧧻	yroos
𧦧	yropd
𧦭	yropd
𧬈	yrorm
𧩸	yrort
𧭎	yroto
𧪃	yroyr
𧪄	yroyr
𢠔	yrp
𧪂	yrpad
𧩛	yrpas
𧪱	yrpas
𧦏	yrpb
𧦛	yrpe
𧦍	yrphh
𧩓	yrphp
𧨨	yrphu
𧥺	yrpim
𧥨	yrpj
𧪶	yrpjd
𧩪	yrpkp
𥪇	yrpmm
𧥺	yrpmm
𧩇	yrpne
𧧺	yrppg
𠹪	yrpr
𧦷	yrpvk
𧦌	yrq
𧩶	yrqhk
𧥹	yrqj
𧩻	yrqkk
𧥱	yrqo
𧥫	yrqu
𧥣	yrr
𥪾	yrrbc
𧪼	yrrbc
𨕓	yrrd
𡕨	yrre
𥜘	yrrf
𠅖	yrrj
𠅷	yrrj
𠆆	yrrj
𨕣	yrrj
𨔺	yrrj
𠅧	yrrk
𧪎	yrrli
𧦫	yrrlr
𧦢	yrrms
