𥪖	ythxu
𦳯	ytid
𥪀	ytijb
𥪆	ytije
𣤴	ytino
𥪣	ytiqe
𥩡	ytiv
𨐋	ytj
𥪧	ytjbc
𥩾	ytjbd
𣐽	ytjd
𥩽	ytjdi
𥪤	ytjka
𥩟	ytjm
𥪗	ytjmf
𥃓	ytjmt
𧈚	ytjmt
𧱏	ytjo
𥩪	ytjr
𥩭	ytjr
𨏧	ytjwj
𨘬	ytkb
𨘎	ytkf
𥪂	ytkoo
𠹧	ytkr
𨔏	ytkr
𨔽	ytkr
𥩺	ytkt
𨒾	ytlb
𨕤	ytlb
𨔷	ytlj
𥩜	ytlln
𥩼	ytlmo
𥪐	ytlmo
𥪑	ytlmq
𠱫	ytlr
𠶷	ytlr
𧕢	ytlri
𢡃	ytlrp
𥪁	ytlws
𧅣	ytlx
𥪙	ytmbc
𩓉	ytmbc
𩓗	ytmbc
𥩨	ytmgi
𥪌	ytmkp
𨖑	ytmm
𥩤	ytmnr
𥫀	ytmrb
𥫌	ytmrr
𥩗	ytmu
𠗮	ytmv
𤮙	ytmvn
𤮧	ytmvn
𥩬	ytna
𨚪	ytnl
𨞘	ytnl
𨝹	ytnl
𥪹	ytnlb
𥪋	ytnme
𣢦	ytno
𥩯	ytnsd
𥪚	ytoae
𩁨	ytog
𥩷	ytohv
𥩱	ytoi
𥩦	ytoip
𩚷	ytoiv
𥫁	ytoma
𥩻	ytomr
𩚷	ytomv
𥪶	ytooa
𨗸	ytpd
𥩞	ytpi
𥩘	ytpi
𥩘	ytpm
𥩮	ytpr
𥪃	ytpuu
𥪥	ytpuu
𥩝	ytq
𨐌	ytq
𨒫	ytq
𥪲	ytqhf
𨗚	ytqr
𥪩	ytrbc
𤉿	ytrf
𨕸	ytrg
𨙕	ytrg
𥪅	ytrno
𥩶	ytrr
𨕃	ytrr
𨃱	ytryo
𥪒	ytsbt
𥪏	ytsje
𥩥	ytsp
𨖗	ytsr
𨔴	ytsr
𥩰	ytss
𥪊	ytsuu
𤍍	yttf
