𨘦	yttg
𥪺	yttgi
𥫃	yttgi
𥪿	ytthg
𥩩	yttm
𨔸	yttm
𥪓	yttmc
𥪽	yttmg
𥫍	yttmg
𥪘	yttmv
𠅟	yttn
𥪫	yttnn
𥩵	yttt
𨑘	ytu
𥪄	ytulb
𥪪	ytumt
𥪋	ytvne
𥪬	ytvne
𥪢	ytwgc
𥪎	ytwhj
𨙚	ytwi
𨗖	ytwk
𥩫	ytwl
𨖘	ytwl
𨗕	ytwt
𨙗	ytww
𥩖	yty
𥪟	ytybb
𥩣	ytyg
𥩛	ytyk
𣥢	ytylm
𨙊	ytyo
𥫉	ytyrj
𥪜	ytyrn
𥪮	ytytj
𣯞	ytytu
𥩲	ytyvo
𥩚	ytyvv
𡄚	yuab
𪘶	yuan
𪙨	yuana
𪙩	yuanb
𪘄	yuap
𪘹	yuapv
𪙦	yuase
𧇅	yuba
𧇻	yubac
𪙃	yubbr
𧇛	yubdi
𪘤	yubdi
𧈜	yubff
𧇟	yubgr
𪗱	yubm
𧇌	yubmr
𪘍	yubmr
𥉩	yubu
𪘟	yubup
𧢕	yubuu
𧢟	yubuu
𪚅	yubwi
𪗤	yuby
𪗔	yuc
𨔩	yuce
𧆷	yuci
𪙅	yucie
𧇓	yucru
𧙦	yucv
𧙵	yucv
𪙭	yucwa
𣜦	yud
𪙁	yudbm
𧇨	yudd
𧈇	yuddh
𧆯	yudh
𡭎	yudi
𪘜	yudl
𪘨	yudoo
𠮉	yue
𠮏	yue
𤫀	yuemi
𤄯	yueqb
𪙢	yuewv
𤈱	yuf
𤏅	yuf
𡮾	yuf
𤎼	yuf
𪘞	yufb
𪙻	yufgi
𩦶	yufqf
𪘵	yugce
𪗺	yugdi
𪗹	yugg
𪘖	yugis
𧈙	yugni
𪗾	yugr
𧆽	yuha
𪂬	yuhaf
𪅑	yuhaf
𪀞	yuhaf
𪗮	yuhd
