𧇯	yuhdd
𧇸	yuhdf
𧇮	yuhdr
𪚈	yuhei
𪘊	yuher
𧆼	yuhey
𨓒	yuhg
𨕱	yuhj
𪗽	yuhjr
𪘾	yuhjx
𪗢	yuhlo
𣂯	yuhml
𣂶	yuhml
𪘇	yuhmr
𪗗	yuhn
𪘉	yuhnd
𩘍	yuhni
𪙒	yuhou
𪘢	yuhpr
𪘐	yuhqi
𪗫	yuhqo
𣯡	yuhqu
𪚇	yuhuc
𪙋	yuhwp
𪗠	yui
𪙍	yuibi
𡕧	yuice
𪘑	yuice
𪗥	yuih
𪘪	yuii
𢎕	yuip
𧇒	yuiym
𪗕	yuj
𨔲	yujb
𪘫	yujbm
𪘲	yujbm
𪚉	yujcc
𪙜	yujcg
𣦳	yujet
𪗴	yujhn
𪘺	yujhr
𪘌	yujlk
𪗩	yujp
𪙏	yujqr
𧆻	yujr
𧈑	yujue
𪘋	yujvi
𡙴	yuk
𦚾	yukb
𦛄	yukb
𧮼	yukb
𪘃	yukb
𪘱	yukkb
𠅛	yukl
𧆬	yukn
𧆟	yukn
𠡌	yuks
𠡜	yuks
𠡤	yuks
𠢖	yuks
𠒋	yuku
𧘮	yukv
𥪝	yul
𨔢	yuli
𪗧	yulk
𪘈	yulmo
𠠚	yuln
𩓲	yumbc
𩔺	yumbc
𩖁	yumbc
𨖭	yumg
𨓏	yumg
𪘬	yumgg
𪙽	yumhm
𨖀	yumi
𪗻	yumig
𪗙	yumj
𪘾	yumjx
𪗞	yumml
𪘚	yummr
𧈃	yumms
𪘝	yummv
𪗿	yumnn
𧇭	yumpm
𨕰	yumt
𪗛	yumt
𪙺	yumtb
𥫏	yumue
𧈄	yumue
𧘫	yumv
𤭕	yumvn
𪗼	yunau
𧆰	yund
𪙙	yuned
𪘴	yungg
𪗸	yunir
𨛵	yunl
𣣍	yuno
𣤧	yuno
𪙀	yunob
