𪚃	yunri
𪗝	yuob
𥪞	yuob
𪘆	yuod
𪘠	yuodm
𩀻	yuog
𪘮	yuog
𧇚	yuoha
𪗣	yuohs
𪘒	yuoir
𪙎	yuoir
𪘡	yuokm
𪙸	yuomm
𪗟	yuomn
𧇎	yuomr
𪘁	yuomr
𪘒	yuomr
𪙎	yuomr
𧆫	yuon
𧇹	yuonk
𪙮	yuooa
𪗣	yuop
𨗳	yup
𪗷	yupa
𧇰	yuphp
𧇶	yuqka
𨛸	yurau
𡃬	yurb
𨰒	yurc
𠅠	yurn
𪙣	yurrj
𪙆	yuscb
𪚌	yusei
𪙑	yusfb
𪘣	yushu
𪚄	yusjt
𪘛	yusju
𨗯	yusk
𪗪	yusmr
𩤌	yusqf
𩣐	yusqf
𪙛	yustr
𪙕	yustv
𪘳	yusuu
𠅉	yut
𪙰	yutav
𪚂	yutei
𪙴	yutgi
𧇞	yutgu
𪙉	yuthm
𪚍	yuthm
𩠥	yuthu
𪙟	yutlm
𪗳	yutm
𧇫	yutmc
𧈋	yutni
𪙉	yutqm
𪚍	yutqm
𥅶	yutt
𪘀	yutt
𪚏	yutt
𪙡	yutwa
𪙊	yutxc
𨒞	yuu
𨒽	yuu
𪗘	yuu
𡅟	yuub
𨖮	yuuf
𨙏	yuuj
𠾃	yuur
𪗨	yuuu
𧙉	yuuv
𨒯	yuuv
𨗞	yuuw
𡣼	yuv
𪗵	yuve
𧈆	yuvfy
𪙧	yuvii
𪙧	yuvik
𧆢	yuvl
𪙝	yuvmi
𧈈	yuvvd
𪙂	yuvvn
𪙷	yuvvv
𪘩	yuwhd
𪘭	yuwhd
𧇙	yuwks
𪙳	yuwlm
𪙚	yuybb
𪚋	yuybk
𪗡	yuye
𨓹	yuyg
𪙞	yuyhm
𪗜	yuyhn
𧟛	yuyhv
𪗯	yuyiu
𪙘	yuykj
𪙞	yuykm
𨓂	yuym
𪘎	yuymr
