𤣥	yvv
𨒰	yvvd
𨓌	yvvf
𨕥	yvvu
𧚱	yvvv
𢂪	yvvvb
𤰡	yvw
𠅺	yvwd
𣖈	yvwd
𣀤	yvye
𣀮	yvye
𣥊	yvylm
𪈗	yvypf
𧞴	yvyrb
𪉨	ywaa
𪉸	ywabt
𪉲	ywarj
𪉽	ywawe
𠅥	ywb
𦟁	ywb
𣖇	ywbd
𪉛	ywbhn
𠨄	ywbr
𪉟	ywbt
𨕚	ywca
𪉢	ywcoj
𣓨	ywd
𣗴	ywd
𪊅	ywddf
𠭇	ywe
𤈴	ywf
𥻆	ywfd
𪉧	ywff
𠗔	ywg
𡌓	ywg
𡍏	ywg
𨓦	ywg
𪉖	ywg
𥟫	ywhd
𠧧	ywhe
𠧺	ywhe
𠧾	ywhe
𤱔	ywhi
𪊂	ywhka
𪉘	ywhne
𠆁	ywho
𪉚	ywhqu
𪉱	ywhsb
𢧽	ywi
𪉠	ywih
𢨟	ywihr
𤱶	ywik
𪊄	ywirp
𪉱	ywisb
𢻛	ywje
𦇨	ywjf
𪉼	ywjse
𠧵	ywk
𡙉	ywk
𡙏	ywk
𪉗	ywk
𥠤	ywkd
𨒇	ywl
𨖞	ywla
𨗴	ywlg
𨖙	ywlo
𨗫	ywlp
𨔍	ywls
𨘣	ywlv
𨗻	ywly
𠆑	ywmc
𪉿	ywmjk
𪉣	ywmrt
𧚽	ywmv
𪊀	ywnhb
𪉦	ywnhx
𠧧	ywni
𪉿	ywnjk
𨛕	ywnl
𨛹	ywnl
𣢿	ywno
𣣧	ywno
𣤓	ywno
𠧚	ywo
𨒊	ywo
𪉡	ywohm
𢽒	ywok
𪊈	ywomm
𪉰	ywomn
𠅓	ywoo
𠧪	ywoo
𥃂	ywot
𪉥	ywowy
𪉾	ywoyk
𠅤	ywp
𠧸	ywph
𠆎	ywqe
𩏉	ywqe
𪉮	ywqkk
𪉪	ywqkq
