𧝕	ywqv
𪉞	ywrj
𪉙	ywrm
𨕔	ywrn
𪉫	ywrrj
𧙪	ywrv
𪊇	ywsit
𪊇	ywsmt
𪉴	ywtmd
𪉯	ywtmv
𪉷	ywual
𪊃	ywuhi
𠧤	ywvs
𠧷	ywvs
𪉭	ywwmv
𪉸	ywwot
𤱈	ywy
𢾃	ywye
𢿊	ywye
𪉺	ywyhm
𣫭	ywyi
𪉺	ywykm
𠲯	ywyr
𪉜	ywyr
𪊊	ywyrv
𣡼	ywywd
𥾄	ywywd
𪊉	ywywv
𠨋	ywyww
𪊆	ywyx
𪗇	yxb
𪗅	yxe
𪗉	yxhd
𪗌	yxibc
𪗍	yxjlv
𧖊	yxlii
𧓉	yxlmi
𪗈	yxmni
𪗏	yxnwf
𪗌	yxobo
𪗑	yxpbe
𪗋	yxyhv
𩩘	yybbb
𨘮	yybn
𨔖	yybr
𨗁	yybr
𥃐	yybt
𨓘	yybt
𨓗	yybu
𨒳	yyfj
𨖏	yyie
𨕕	yyir
𨓋	yyit
𨓞	yyiu
𨔉	yykj
𣄒	yyklg
𨑭	yylm
𠝣	yyln
𨔀	yylo
𨑗	yym
𨔑	yymb
𨖸	yymh
𨑵	yymn
𨒤	yymp
𨕐	yymu
𠖺	yymy
𢏽	yynhh
𠂫	yynhs
𨔊	yyoj
𨘰	yyoo
𨕑	yypb
𨗋	yype
𨘈	yypj
𨖆	yypm
𨔛	yypn
𠆖	yypr
𨔛	yypu
𨙎	yyre
𨙎	yyrf
𨘿	yyrg
𨘔	yyrr
𠗪	yyrv
𨓃	yysf
𦑳	yysmm
𨔆	yysy
𨘛	yytb
𧈓	yytjk
𨑑	yyv
𨘆	yyvb
𨘙	yyvj
𨒨	yyvo
𨖱	yyvq
𨕢	yyvw
𨗍	yywa
𨔁	yywe
𨗰	yywf
𨔁	yywn
𨔟	yywo
𨖯	yywo
𨘵	yywu
