𨙃	yywu
𣫺	yyyib
𪱈	aaaa
𪹕	aaf
𪹶	aaf
𪱆	aatv
𪱑	abikg
𪰭	absd
𫎥	acbuc
𫞃	acr
𪰐	adm
𪰪	adoo
𪱅	aeja
𪱕	aenl
𪰤	aev
𪱓	affe
𪱌	affs
𫖢	afmbc
𪱖	agdk
𪰙	agr
𪰹	agwg
𪰮	ahbn
𪱔	ahbu
𪰠	aheq
𪰴	ahje
𪰌	ahqu
𪞋	ahtc
𪱁	ahwg
𪰽	aijj
𪟙	aiks
𪰢	aill
𪰼	ailr
𪰰	ainl
𪰜	aipm
𪸣	ajf
𪫉	ajhhh
𪱇	ajip
𪰧	ajki
𪰚	ajkp
𪱄	ajmc
𪱂	akha
𪰫	akjt
𪬒	akp
𪰘	aksr
𪰔	albk
𪰶	alno
𪰆	am
𪰲	amad
𪰓	amfj
𪰑	amgi
𫞂	amgi
𪰬	amhdn
𪰝	amhn
𪰥	amlm
𪻹	ammgi
𫝝	ammjk
𪰱	ammk
𪰈	ammu
𪰏	amnr
𪱎	amomn
𪱊	amomr
𪰒	amr
𪱏	anbe
𫔝	anbu
𫔣	anhdn
𫔠	anhey
𫔜	anjr
𪰷	ankq
𪰇	anl
𫔘	anl
𫔚	anl
𫔢	anll
𫔞	anlw
𫔫	anmok
𫔡	anmrt
𫔟	anoip
𫔨	anoiv
𫔧	anooo
𫔛	anop
𫔩	antak
𫔥	antmc
𪰵	anws
𫔤	anykq
𫔪	anytp
𪧺	aodi
𫃆	aofd
𪰻	aoir
𪰿	aojnd
𪰋	aok
𪰕	aok
𪰖	aok
𪰯	aoke
𪰡	aomg
𪰦	aoog
𪰾	aopa
𫛸	aopym
𪰟	aoq
𪱃	aoyk
𪰗	aph
𫛂	aphaf
