𫇃	bmmp
𫆯	bmoe
𪺏	bmso
𪞒	bmuj
𫆮	bndf
𪺚	bnff
𪮚	bnhq
𪞏	bniu
𫆩	bnkl
𫎩	bobcd
𪥠	bobck
𪾕	bobt
𫎦	boikp
𫆛	boip
𪞓	boiv
𪱡	bomf
𫎫	bomwj
𫎨	boomo
𫎧	bopr
𪱢	bosn
𫎪	boytd
𪹭	brf
𫞆	brok
𫛲	brpym
𫞅	bsmi
𫆨	btbn
𪣪	btg
𪭓	bti
𫆲	btjd
𫆹	btqe
𫆾	btqr
𫝍	btym
𫆼	btys
𪾽	buank
𪾮	bubhg
𪾢	bubhu
𪾫	bubms
𪳐	bud
𪾭	budd
𪾳	budmq
𪾱	bufhu
𪾼	bugbt
𫚲	buhaf
𫞳	buheq
𪾶	buhjg
𪾯	buhlo
𫌭	buhok
𪾾	buhor
𪾬	buhru
𪿄	buhyu
𪾤	buih
𪾡	buiku
𪾪	buimo
𪿅	buiof
𫌢	bujbj
𪾣	bujm
𪾩	bujmd
𪾸	bujoc
𪿀	bujwb
𪾹	bukpb
𪾧	buoii
𪫩	bup
𪾠	bupi
𫌩	bupr
𫌣	buptd
𪾵	buqmf
𫌝	burhu
𪾥	burms
𪾨	burms
𪾴	busfd
𪾿	butca
𫌜	buv
𫌧	buyhc
𫌎	buyhv
𪾦	buys
𪾰	buysk
𪾟	buysm
𪾲	buyta
𪺕	bvii
𫆞	bvvm
𪽋	bw
𫆪	bwce
𫆣	bwjr
𪹗	bxf
𪱭	byfv
𫆷	bykn
𪱚	bym
𫛝	bypym
𪱧	byru
𪱨	bytu
𪱩	byub
𫓣	caaf
𫓉	camg
𪱗	caoin
𫒱	caok
𫒢	cbcj
𫒏	cbt
𫎤	cclec
𫒵	ccui
𫓇	cdbb
