𪲯	dlbq
𪲈	dlbu
𪳛	dlga
𪳱	dlll
𪴗	dlpc
𪳧	dlpd
𪳡	dlwp
𫝀	dm
𪴖	dmbd
𪲔	dmbib
𪴟	dmbs
𪴜	dmbu
𫞒	dmda
𫞉	dmlr
𪲐	dmnl
𪲓	dmrt
𪲲	dmru
𫞍	dmwm
𪳉	dmwp
𪱱	dmy
𪲂	dna
𪴝	dnan
𪲰	dnbk
𪳆	dnbs
𪳻	dndd
𪳜	dnef
𪱾	dnf
𪳹	dnlo
𪬓	dnp
𪳴	dnwli
𪳥	dnwu
𪝗	doihu
𪴡	dokf
𪴺	domym
𪱿	dond
𪲧	dooo
𪬯	dop
𪳲	dora
𪱸	doy
𪲼	doyr
𪲀	dpg
𪲨	dphp
𫖏	dqawe
𫖍	dqjb
𫠄	dqyvo
𪱳	dr
𪲖	drd
𪴁	drmo
𪳏	drrs
𪴋	drsrr
𪴕	dsca
𫖓	dshwj
𫞈	dsim
𪳍	dsje
𪳬	dsmb
𫖖	dsnot
𫖑	dsoin
𪳋	dsoip
𪬈	dsp
𫖒	dsppj
𫛶	dspym
𫖔	dsthb
𪳂	dthu
𪺽	dtik
𪴆	dtip
𪲍	dtlb
𪳸	dtog
𫞐	dtog
𪲞	dtqu
𪲇	dtw
𪳰	dtwd
𪴀	dtwt
𪴊	dtwt
𫝛	dubmr
𪶛	due
𪴉	duie
𪳢	dumm
𪲤	dunu
𫛠	dupym
𪱴	dv
𪲛	dvfd
𪲏	dvie
𫖟	dvmbc
𫌫	dwbhu
𪲗	dwf
𪳝	dwf
𪳿	dwite
𪲷	dwld
𪲥	dwoii
𪳣	dybb
𪲌	dyby
𪲱	dyck
𪳖	dyhq
𪳤	dyhr
𪲎	dykl
𪳇	dykr
𪳩	dyku
𪱲	dym
𪴠	dymb
𪴐	dymm
