𪳠	dypa
𪳄	dyrn
𪳀	dyta
𪶄	eadi
𪠂	eail
𪳼	eajd
𪷑	eamg
𪷭	eang
𪸌	eanj
𪷰	eashr
𪠥	eb
𪷄	ebcu
𪸊	ebdu
𪷗	ebhj
𪷖	ebkf
𪶴	eboa
𪸃	ebond
𪬬	ebop
𪶂	ebuu
𪷻	ecii
𪸆	ecjr
𪷼	eckr
𫊫	eclmi
𪜚	edkn
𪳫	edlw
𪶯	edma
𪶚	edp
𪵾	edr
𪶽	eeed
𪵽	eeee
𪠰	eeen
𪣭	eeg
𪸁	eegde
𪶟	eehqo
𪷔	eeonn
𪷯	efdf
𪸂	effe
𪶼	efhr
𪷴	egif
𪶝	egir
𪣽	egjbd
𪷎	egpc
𪵸	egpd
𪶓	ehbk
𪳷	ehd
𪶵	ehdo
𪵬	ehhn
𪵯	ehif
𪟜	ehks
𪵮	ehml
𪷘	ehnq
𪷽	ehuo
𪷮	ehur
𪵻	ehwo
𪶣	ehwt
𪷫	eibe
𪫚	eihoq
𪟛	eiks
𪵷	eimm
𪶹	eing
𪶏	einl
𪶻	eiob
𪶶	eiog
𪵫	eip
𪸇	eipg
𪶩	eirp
𪷡	eirph
𪷲	eitg
𫞛	eiva
𪷸	eixe
𪷆	ejac
𪸋	ejcf
𪷚	ejcl
𪶉	ejcs
𪶷	ejcu
𪷀	ejel
𪷅	ejff
𪷷	ejkf
𪷛	ejmw
𪶗	ejtj
𪷱	ejto
𪣡	ekg
𪶇	ekg
𪶙	ekgg
𪶆	ekhf
𪷶	ekoii
𪷟	elbo
𪶞	elbr
𪷃	eleu
𫗚	eloiv
𫆏	elsj
𫞗	elsk
𫞝	elso
𫞘	eltl
𪷕	elyk
𪷩	emad
𪷳	embb
𪸀	embe
𪷋	embj
𪶌	emgn
