𪷐	emhg
𪷝	emip
𪶍	emkq
𪶮	emmp
𪵭	emms
𪵱	emms
𪶭	emnf
𪷌	emnf
𪵹	emnl
𪶫	emog
𫞚	emoo
𪷪	emsc
𪷏	emti
𪶪	emwu
𪵩	emy
𪵼	enau
𪶖	endw
𪸉	enff
𪵰	enl
𪶾	enlb
𪶳	enoy
𪷾	enxu
𪶔	eogg
𪶠	eoik
𪵳	eok
𪵴	eolb
𪶢	eomd
𪶅	eomf
𪶡	eomm
𪡌	eor
𪶤	eoto
𪷿	epdc
𪶿	epko
𪶥	epmm
𪷍	eqbu
𪶎	eqsr
𪪴	eqt
𪶜	eqyt
𪸅	erhvf
𪶃	ersn
𪷢	ersn
𪷬	esef
𪶘	esjl
𪶬	esly
𪫆	esm
𪷊	esmt
𪷧	esrq
𪵲	essu
𪷨	esup
𪵶	esvs
𫞞	etag
𪷠	etbe
𫞜	etcb
𫞙	etcy
𪷥	etgce
𪷺	etip
𪷞	etlt
𪷇	etnh
𪷵	etni
𪸄	etnl
𪷒	etpu
𪭕	etvi
𪶲	etwk
𪾛	eufbt
𪶕	eufd
𪷁	eugk
𪶁	eumg
𪶐	eumj
𪶱	euyj
𫆬	evb
𪶨	evep
𪶈	evfd
𪷜	evff
𪶋	evfh
𪷉	evfw
𪤊	evg
𪡤	evr
𪸈	ewgni
𪷈	ewjc
𪶀	ewks
𪶒	ewln
𪶑	ewph
𪷦	eybj
𪾒	eybt
𪷙	eycc
𪶧	eycd
𪶺	eyck
𪶸	eykf
𪶊	eyki
𪵺	eylk
𪷓	eyps
𪶦	eyrv
𪷤	eywf
𪸺	fahl
𪸮	fak
𪹈	famm
𪹼	fatp
𪹷	fatv
𪸻	fayk
𫆙	fbb
