𪸑	fmmu
𪸵	fmpm
𪹒	fmta
𪺈	fmue
𪸒	fmvm
𪹁	fndt
𪸞	fnf
𪸡	fni
𪸟	fniy
𫠘	fnlw
𪹥	fnof
𪸨	fnsd
𪸢	fnyo
𪾻	fobu
𪹯	fogd
𪨅	fokg
𪸽	fomg
𪸕	fomn
𪹊	fomn
𪸏	fon
𪹍	fonk
𪟶	fqfbr
𫜏	fqixp
𫝤	fqmk
𪸳	fqsr
𪟸	fqybs
𪨃	fqyj
𪹢	frbe
𪹐	frf
𪸝	frks
𪸧	frlb
𫃔	frtqu
𪸐	fshi
𪹳	fshi
𪸥	fsj
𪺍	fsm
𪹻	fsmd
𫞠	fsmf
𪺀	fsmj
𪸪	fsmm
𫃗	fsogf
𪸸	ftbc
𫞡	ftbd
𪹏	ftgk
𪹛	ftub
𪨤	fu
𪞃	fuahg
𪺃	fufbg
𪹇	fumf
𪞀	funl
𪹖	fusk
𪨀	fuu
𪞆	fuyed
𫏻	fvjwj
𪹟	fvvc
𪸜	fwo
𪺊	fwylc
𪺇	fybg
𪹲	fybk
𪺉	fybk
𪹚	fybs
𪹧	fycb
𪹴	fykb
𪹰	fykg
𪸔	fylm
𪹣	fypt
𪣧	gaa
𪣦	gab
𪤃	gajv
𪣍	gans
𪣙	gat
𪣀	gau
𪣚	gav
𪢻	gb
𪣟	gbcj
𪣒	gbkq
𫜳	gbnwu
𪤂	gbut
𪲠	gcd
𫎮	gcmig
𫎭	gcnom
𪣈	gcr
𫎯	gcta
𫎰	gcvfw
𪢿	ge
𫆢	geb
𫌤	gebuu
𫓖	gec
𪤌	geed
𪵑	gehkl
𪤽	genin
𫜕	geqme
𪡹	ger
𪢲	ger
𪣮	gesp
𪣢	geyk
𪤅	gfbu
𪣻	gfdv
𪭁	gfp
𪤉	gfqe
