廗	ikpb
库	ikq
啓	ikr
彧	ikrm
为	iksi	iks'i
尤	iku
尨	ikuh
綮	ikvif
畚	ikw
庸	ilb
康	ile
州	ilil
廔	illv
庣	ilmo
划	iln
庚	ilo
賡	iloc
赓	iloo
唐	ilr
庙	ilw
曵	ilwp
冫	im
亠	im
凕	imbac
凋	imbgr	imb'gr
凈	imbsd
凎	imc
庮	imcw
凇	imdci
凚	imddf
决	imdk
凁	imdl
凍	imdw
冰	ime
冸	imfq
凌	imgce
凟	imgwc
冼	imhgu
庢	imig
减	imihr
冹	imike
冹	imikk
冶	imir
凄	imjlv
冻	imkd
庑	imku
冲	iml
冿	imlq
凞	imluf
冮	imm
冽	immnn
廲	immp
冴	immvh
冱	immvm
凓	immwd
凐	immwg
庁	imn
凂	imnau
次	imno
净	imnsd
冯	imnvm
准	imog
冷	imoii
凔	imoir
飡	imoiv
凃	imomd
冾	imomr
惑	imp
凝	impko
凑	imqkk
凊	imqmb
况	imrhu
冺	imrvp
臧	imsll	ims'll
馮	imsqf
凞	imsuf
凘	imtcl
廈	imue
凒	imumt
凗	imuog
庌	imvh
凅	imwjr	imw'jr
凙	imwlj
凉	imyrf
凜	imywd
凛	imywf
冖	in
廨	inbq
永	ine
礻	inf
廯	infq
序	inin
庭	inkg
邝	inl
廕	inli
衤	inlo
辶	inno
之	ino
廢	inoe
廃	inop
