𪡀	rhkl
𪡗	rhlo
𪢝	rhop
𪢑	rhor
𪢊	rhto
𪾍	rhut
𪠸	rhvd
𪢀	rhwk
𪡙	riil
𪡂	riq
𪢔	rixf
𫝚	rjji
𪡣	rjmc
𪢗	rjpi
𫝜	rkdg
𫚾	rkhaf
𪠻	rkiu
𪠳	rkq
𫝘	rku
𪡦	rkyn
𪡽	rlcq
𪡞	rlmo
𪢌	rlsw
𫏖	rmbme
𫝞	rmbs
𫏒	rmcku
𫏀	rmdi
𫏌	rmdt
𫏘	rmebt
𫏝	rmfdm
𫏈	rmfmu
𫟣	rmgrv
𫏢	rmhbo
𫏗	rmhje
𫏓	rmhjp
𫏋	rmhkl
𫏛	rmitb
𫏤	rmitb
𫏆	rmive
𫏅	rmlbk
𫏠	rmliu
𫏧	rmmbb
𫏁	rmmt
𫏣	rmmwm
𫏡	rmnao
𫏉	rmnir
𫏨	rmnmq
𫏊	rmohg
𫏂	rmok
𫏚	rmoyr
𫏃	rmpo
𫏙	rmqbv
𫏏	rmqmb
𫏍	rmsuk
𫏇	rmtc
𫏟	rmtks
𫏄	rmtm
𫏞	rmvdl
𫏎	rmvvn
𫏦	rmvvn
𫏜	rmwim
𫏑	rmwln
𪡭	rmwu
𫏩	rmylc
𫏥	rmyrs
𪡷	rnld
𪡃	rnyk
𪠼	robo
𪳓	rod
𪡈	roha
𫛗	rohaf
𪡟	roie
𪥒	rok
𪢤	rokb
𫖲	rombo
𪡋	romm
𪢋	romwo
𪡇	ronf
𪠿	ronn
𪠵	rop
𫛫	ropym
𪡕	rphh
𪠴	rpk
𪡡	rpyr
𪢚	rqae
𪡱	rqdu
𪡆	rqon
𪢅	rqsg
𪡸	rqyv
𪡰	rrail
𪡼	rrbuk
𪡉	rrnl
𪯟	rrok
𪫰	rrp
𫜝	rrrxu
𫘘	rrsqf
𪹬	rrssf
𪠪	rsee
𪡨	rsfd
𪢧	rsgp
