𪢙	rsjb
𪢄	rsmt
𪡎	rsoii
𪬩	rsp
𪢎	rsrg
𪡝	rtcu
𪢠	rtlw
𪢂	rtqu
𪡧	rtwc
𪡩	rumf
𫑡	runl
𪩯	ruykm
𪢍	rvfr
𫞖	rvip
𪡄	rwlc
𪡔	rwlt
𫑣	rwnl
𪯮	rwyj
𪢁	rybp
𪢟	rybq
𪢥	ryhs
𪡁	ryiu
𪢆	ryja
𪢘	ryjl
𪡏	rykq
𪡴	ryru
𪢃	ryue
𪟬	sb
𪩺	sbdk
𪤀	sbg
𪽛	scw
𪯚	sdok
𪠱	segiy
𪦠	sev
𫘔	sfcki
𪳎	sfd
𪟱	sfdw
𪹂	sfeg
𫘅	sfei
𫘉	sff
𫘚	sffdc
𫘐	sfhjg
𪵓	sfhne
𫘈	sfhne
𫘙	sfhnf
𫘒	sfibi
𫘊	sfmcw
𫘏	sfmwl
𫘋	sfqmb
𫘆	sfqo
𫘍	sfrbr
𫘇	sfsc
𫘗	sftdo
𫘑	sftgk
𫘕	sftxc
𫘓	sfwck
𫘌	sfypu
𫇂	sgbvw
𪨡	sgeo
𪯵	sgyhs
𫙃	shabs
𫘻	shbhn
𪠤	she
𪶰	she
𫙂	shfdv
𪨋	shg
𫘼	shlw
𫘾	shmmv
𫘸	shn
𫙁	shnau
𪟓	shndp
𫘹	shno
𪯖	shok
𪨗	shol
𫘽	shomi
𫘿	shskr
𫘺	shv
𪟀	shyhs
𫔖	sihbv
𫙀	sihja
𫔗	simkp
𪧾	siuog
𫆇	sjbd
𫟉	sji
𫆍	sjiib
𫆆	sjiok
𫆓	sjjbv
𫆒	sjjcp
𫆄	sjkms
𫆋	sjmrb
𫆁	sjno
𫆑	sjoma
𫆂	sjomg
𫆅	sjrhg
𫆐	sjrrj
𫆀	sjsl
𫆌	sjtct
𫆊	sjtob
𪱛	skb
𫝲	skin
