𫑝	sknl
𪟮	sknsh
𪹃	slf
𫛀	slhaf
𫛉	slhaf
𫖂	slmwl
𫇆	slsll
𪦑	slv
𪽖	slw
𫑏	slymo
𫇈	slyoj
𪥎	smgk
𪧹	smgni
𫅲	smhyu
𫅨	smjwj
𫊼	smlmi
𫅪	smlmy
𫅩	smmlk
𪴫	smno
𫅤	smoii
𫖈	smtlj
𫅧	smtq
𪨉	smu
𫅯	smyjl
𫅮	smytu
𪨔	sndu
𪨘	snqr
𪨍	sohe
𪨜	sohon
𪟰	sohr
𪨑	sojwj
𪨎	soksr
𪽗	somuw
𪨊	soo
𫇉	sosyn
𫠉	sqsm
𫎡	srbuc
𪠬	sre
𪠯	sre
𪹑	srff
𫖳	srmbo
𫑧	srnl
𪩦	ssdd
𫇇	sshqi
𪟭	ssls
𪩤	ssmkn
𪩪	ssooo
𫇅	ssphh
𪩩	ssyco
𪩥	ssykr
𪣿	stg
𪨒	stlg
𪨛	stmig
𪴲	stno
𪨌	stp
𪨚	styg
𪨝	suhda
𪨙	suoog
𫛵	supym
𪨟	sutta
𪨕	suuu
𪨖	suwl
𪬧	suyrf
𪨠	svofq
𪨞	svslb
𪟯	swg
𪧂	swnd
𪟲	syjo
𪨐	syki
𪨏	sylh
𪨓	syrb
𪯭	syyj
𫈧	tabi
𪡻	tajr
𪷂	take
𫝐	taln
𫊔	tamnf
𫉑	tanj
𪴮	tano
𪯓	taok
𫈔	tapm
𫉧	tasf
𫇦	tb
𫉁	tbbe
𫉓	tbdw
𫈂	tbhd
𪵒	tbhne
𫈦	tbih
𪩾	tbijb
𫉖	tbjd
𫇪	tbk
𫎇	tbmmo
𫉂	tbwd
𫜱	tbybp
𫉡	tbyj
𫊖	tbyx
𪭍	tci
𫊙	tciii
𫟕	tcjl
𫇫	tck
