𪞍	tcomr
𫈅	tcor
𪭅	tcp
𫉟	tcpm
𫛰	tcpym
𫈷	tdbr
𫊚	tddl
𫅷	tdjkp
𫉕	tdksr
𫇿	tdl
𫉈	tdll
𫈥	tdmr
𫉎	tdmr
𪲣	tdnl
𪱶	tdt
𫊍	tdun
𫈺	tdyo
𫉯	tege
𫇼	tehn
𫉃	tehn
𫈜	telw
𫉗	temb
𫊓	temf
𫑩	tenl
𪴳	teno
𫊋	teod
𫈰	teor
𫇻	tepd
𫉙	tepd
𫉣	terb
𫊁	tesb
𫈭	tetq
𫉰	tett
𫈲	teug
𫈞	teyi
𫊉	teym
𫈊	teys
𫉒	tfbb
𫊊	tfdb
𫉱	tfdv
𫈳	tfff
𫇾	tfg
𫕿	tflmy
𫊈	tfnq
𫉠	tfqj
𫉫	tfqu
𫟜	tgbuu
𫉷	tgig
𫉥	tgis
𫉵	tgiv
𫅏	tgmym
𫟈	tgoc
𫉊	tgog
𫅡	tgtgr
𫈐	tgtj
𫅘	tgtkr
𫇸	th
𫈇	thap
𫉢	thar
𫇽	thbv
𫊕	thdi
𫈗	thdr
𫊎	thjg
𪺶	thjq
𫟏	thli
𫈙	thoi
𫊏	thoj
𫉪	thok
𫈿	thre
𫇺	tig
𫟖	tihs
𫇭	tiki
𫉘	tilb
𫉼	tinl
𫈋	tipp
𫜄	tipym
𫉏	tirv
𫇮	tiv
𫉄	tiva
𫉾	tiyl
𫊀	tjbm
𫖅	tjikp
𫈣	tjju
𪟥	tjks
𫇷	tjks
𫈤	tjle
𪟋	tjln
𫈛	tjlw
𫖊	tjmwj
𫉍	tjoe
𫖇	tjopj
𫈌	tjqo
𫖆	tjrc
𫖋	tjste
𫉲	tjtg
𫊘	tjtib
𫖉	tjtpb
𫈶	tjwv
𫟐	tjys
𫅝	tkbam
