𪯗	tkcsh
𫈸	tkcu
𪲿	tkdl
𪯝	tkemw
𫅚	tkhdl
𪠫	tkhe
𫉬	tkhe
𫈃	tkhg
𫝥	tkiav
𫉭	tkjc
𫈹	tkjj
𫅟	tkjme
𫅖	tkqr
𫈠	tkrg
𫉆	tksb
𫈻	tkso
𫉌	tksu
𫅠	tktpd
𫇰	tla
𫇨	tlll
𫈉	tlsa
𫈢	tmad
𫇩	tmdm
𫇶	tmgb
𫈑	tmgk
𫉦	tmgk
𫉋	tmgn
𫉝	tmgp
𫈓	tmpm
𫉸	tmro
𫊑	tmrw
𫞪	tmvk
𫊌	tmwf
𫉹	tmwj
𪲫	tnd
𫊒	tnfg
𫈏	tnib
𫟍	tnip
𫟌	tniy
𪥗	tnk
𫈟	tnld
𫉤	tnlh
𫉛	tnlv
𫈎	tnms
𫈴	tnot
𫇴	tnsm
𫟓	tobr
𫈬	tobu
𫉔	todq
𫇲	tog
𪤱	togrt
𪪫	toijj
𫊆	toke
𫈫	toko
𫈆	tokr
𫈈	tokr
𫇧	ton
𫇱	tond
𫉀	tond
𫇹	topo
𫈄	tovo
𫇳	toym
𫈾	toyo
𫈘	toyv
𫈪	tpjd
𫇬	tpk
𫈖	tpli
𪴴	tpno
𫈝	tpp
𫅑	tqam
𫅔	tqav
𫅙	tqbun
𫊇	tqdb
𫅗	tqjto
𫅐	tqlbk
𫅕	tqmhp
𫈒	tqmv
𫅒	tqrvp
𫅓	tqtq
𫅎	tqu
𫅛	tqubb
𫉳	trbau
𫈕	treu
𫊐	trgu
𫉩	trhf
𫇯	trks
𫊛	trml
𪴰	trno
𫈀	trno
𫉞	trrd
𫉺	tsef
𫉶	tset
𫟎	tshlu
𫟑	tsmf
𫉴	tssi
𫊗	tswt
𫎁	ttcor
𫟒	ttd
𫈯	ttgi
𪥞	ttk
