𪪃	ttmob
𫛨	ttpym
𪩰	ttsu
𪴨	tttdd
𫟔	ttuo
𫉉	ttwc
𫗹	tudjn
𫗶	tuhfd
𫗻	tuijb
𪟄	tuln
𪬐	tup
𫗺	tuqsk
𫗷	turd
𫅦	tusmm
𫗸	tuta
𫊃	tvfb
𫉇	tvfu
𫊄	tvfw
𫈍	tvly
𫈵	tvmu
𪜀	tvn
𫇵	tvns
𫉅	tvrp
𫊅	twbd
𫉨	twbe
𪱘	twbmv
𫉻	twdj
𫈽	twgc
𫈩	twgl
𫉜	twjc
𫈼	twlh
𫉐	twls
𫈨	twol
𫜟	twrlu
𫈁	twtt
𫊜	twwm
𫇥	ty
𫉮	tyao
𫉽	tyhe
𫈱	tykh
𪬄	typ
𫊂	tyrr
𫉚	tyrs
𫈮	tyrv
𫈚	tysk
𫉿	tywf
𪝿	uahu
𪩃	uamo
𪨾	ubbe
𪨪	ubbm
𪨹	ubob
𪩎	ubov
𪩞	ucii
𪩔	ucji
𫂳	ufd
𪩋	ufdh
𪩇	ufdv
𫚽	ughaf
𪨽	uglp
𪩅	uhag
𪨫	uhhl
𪨴	uhjd
𫝴	uhmr
𪨳	uhon
𪩉	uibi
𫛃	uihaf
𪩈	uihd
𪩑	uiku
𪨿	uilu
𪨺	uimi
𪩏	uixp
𪩂	ujbj
𪩘	ujbk
𪩗	ujhml
𪩍	ujii
𪩐	ujog
𪨻	ukbt
𪨶	ukjj
𪩜	ukku
𪨼	ukmf
𪨩	ukqu
𪨱	ulmo
𪩠	ummbp
𪨷	umth
𪨢	umy
𫝳	un
𪨭	uni
𪨮	uni
𪩁	unlm
𪩕	unoe
𪨲	uoju
𪞶	uom
𪩚	uoma
𪨧	uomb
𪩆	uoml
𪨦	uomn
𪨣	uon
𪟨	up
𪨥	upd
𪩌	upmc
