𪩛	uqhu
𫝵	uqki
𪨸	urno
𪩀	ushd
𪩒	usmt
𪩖	usnd
𪩙	utgi
𪩝	utgk
𪩓	utmj
𪨰	utw
𪞺	uubdu
𪩄	uuhr
𫖮	uumbo
𫅥	uusim
𪞹	uusip
𪞷	uut
𪩊	uwkp
𪩟	uyun
𪨬	uyvi
𪨨	uyy
𪥨	va
𪦳	vamb
𪦫	vanr
𪦢	vbc
𪦚	vbck
𫝨	vbkq
𫝦	vbo
𫝭	vbov
𪦓	vbup
𪦕	vckn
𫄒	vdaok
𪥱	vdb
𪦡	vdbb
𫚻	vdhaf
𫝫	vdt
𪦟	vdysy
𪥫	vee
𪦜	veja
𪦄	veli
𫃷	vfahu
𫃿	vfbie
𫃦	vfbme
𫃭	vfbmk
𫃶	vfehr
𫃤	vfev
𫄗	vffbf
𫃼	vffdj
𫃵	vffdl
𪦯	vffi
𪦱	vffi
𫄘	vfhbe
𫄏	vfhir
𫄂	vfhlq
𫄍	vfhnf
𫃮	vfhog
𪭗	vfhqi
𫃰	vfikm
𫄔	vfimc
𫄅	vfirp
𫃻	vfjcr
𫃟	vfjd
𫄀	vfjgj
𫄇	vfjij
𫃣	vfjnd
𫟂	vfjty
𫃪	vfkuy
𫃞	vfl
𫃯	vflbq
𫃳	vflii
𫃺	vflxl
𫃽	vfmbm
𫃫	vfmrt
𫄖	vfmwt
𫃴	vfnbk
𫃧	vfnwu
𫃢	vfod
𫄑	vfoiv
𫃝	vfon
𫃠	vfpru
𫃸	vfqbv
𫃜	vfr
𫄉	vfrmr
𫄌	vfrmv
𫟁	vfrse
𫃥	vfryo
𫄄	vfsfv
𫄎	vfslv
𫃲	vfsmb
𫃱	vfsme
𫄁	vftab
𫄈	vfter
𫃾	vftib
𫃨	vftwu
𪦉	vfuo
𪦥	vfv
𫃩	vfvng
𫄓	vfwfk
𫃚	vfy
𫄃	vfydk
𫃬	vfyfe
