𫃹	vfylo
𫄋	vfyri
𫃡	vfyt
𫄊	vfywf
𪦇	vggi
𪦰	vgrr
𪦴	vhaa
𪦂	vhbk
𪥲	vhie
𪦋	vhje
𪥪	vhnn
𫄐	vhqly
𪦁	vhws
𪦪	vhws
𪪋	vidh
𪥬	vihu
𪪊	vipi
𫌏	viyhv
𪦃	viyr
𪦛	vjck
𪥻	vjhio
𪥼	vjlv
𪥰	vjmn
𪯊	vknl
𫆃	vksj
𪥮	vla
𪢞	vlhbr
𫝬	vlmo
𫝮	vlsw
𪜡	vlyv
𪦦	vmbk
𫄡	vmbmr
𫝪	vmbo
𪦗	vmbv
𪫇	vmfdc
𫄪	vmgcv
𫄱	vmgcw
𫄦	vmgis
𫄵	vmgth
𫄣	vmhbv
𫄸	vmhgf
𫟆	vmhjg
𫄳	vmhoo
𫄜	vmhqu
𫄫	vmhsk
𪺠	vmhwp
𫟇	vmish
𫟄	vmjki
𫄨	vmkkb
𫄠	vmmam
𫄞	vmmfm
𫄥	vmmmb
𫄚	vmmvm
𫄧	vmnkm
𫄝	vmnl
𫄶	vmnri
𫄮	vmnst
𫄭	vmoae
𫟃	vmohg
𫄢	vmoik
𫄛	vmoin
𫄟	vmopd
𪦌	vmov
𫄩	vmowy
𫄬	vmptd
𪥾	vmrl
𫄲	vmtak
𪺡	vmtww
𫄙	vmu
𫄹	vmuob
𪥦	vmvm
𪺟	vmvvw
𫄯	vmwce
𫄰	vmybs
𫄴	vmyij
𫄤	vmyk
𪺞	vmymr
𫟅	vmyrf
𫄷	vmytp
𫛇	vnhaf
𪥿	vnyk
𪦣	vohdb
𪦔	voir
𪥥	von
𪹩	vpf
𫖩	vpmbc
𫘖	vpsqf
𪥶	vqjl
𫝩	vqki
𪫾	vqp
𪦭	vrhrf
𪦆	vrino
𪥳	vrlb
𪦐	vrok
𫛪	vrpym
𪦊	vrrs
𪦲	vrwlc
𪦈	vsav
𪦬	vsec
𪺫	vshq
