𪦞	vsma
𪥵	vsmm
𪥽	vsmv
𫛯	vspym
𪦙	vthi
𪦀	vtys
𪦧	vubb
𪦩	vufk
𪥭	vumn
𪫴	vup
𫝧	vusu
𪩡	vvau
𫌥	vvbuu
𪦤	vvff
𪦏	vvfu
𪱵	vvvd
𪦅	vvvw
𫌵	vvymr
𪦨	vwli
𪦮	vwww
𫄕	vwypf
𪦖	vybd
𪦝	vydi
𪥩	vye
𪦎	vykh
𪥧	vylm
𪥹	vynh
𪦒	vypk
𪦘	vysd
𪢬	wapp
𫑤	wbnl
𪽔	wbuu
𫆿	wbyfd
𪭖	wci
𪢰	wckin
𫎚	wcnl
𫜛	wfnoo
𫜚	wfphp
𫜙	wfrlu
𫜞	wfrxu
𪽘	wgcg
𫒁	wgjb
𪯇	wgje
𫙣	wgnwf
𪽝	wilw
𫅌	wjgdi
𪢫	wjwj
𪾜	wkbt
𪽓	wkl
𪽇	wkn
𫅇	wlc
𫅄	wllmo
𫅀	wlmms
𫅂	wlmr
𫅉	wlmwu
𫅈	wlnnc
𫅋	wloma
𫅁	wlop
𫅊	wlrjw
𫅍	wlybp
𫅅	wlykl
𪢩	wmfm
𫛐	wmhaf
𪽊	wmmu
𪽍	wmnr
𪽎	wmnr
𪽈	wnsh
𪽟	wnwf
𪽢	wogf
𪽏	woii
𪽥	wpnot
𪽙	wqkq
𪟔	wrln
𪽜	wrse
𪴾	wrylm
𪟞	wsdh
𪟡	wsmnr
𪟦	wsog
𪟧	wswss
𪢯	wtbu
𪽦	wtgs
𪾖	wthaf
𪢪	wtq
𪢭	wttc
𪽑	wuhq
𫕾	wvlmy
𪽤	wwwm
𪢮	wycd
𫞫	wyhv
𪽒	wyiu
𪢨	wyk
𪽌	wyk
𪱐	yafhu
𫖜	yahdh
𫐹	yahu
𫖘	yait
𫖚	yajmc
𫟪	yajr
𪟠	yaks
𪵦	yaomn
