𫅬	yasmm
𫖛	yatmj
𫖙	yaybc
𫖗	yayj
𫘷	ybaj
𫑌	ybbe
𫑑	ybbq
𫆽	ybibp
𫇄	ybjbv
𪟍	ybln
𫘵	ybnn
𪯐	ybok
𪯔	ybok
𪬥	ybp
𪭂	ybp
𫐭	ybsd
𪪶	ybt
𫀥	ybta
𪰃	ycfq
𫁅	ychdi
𫖣	ycmbc
𫒣	yctc
𫋴	ycyhv
𫐠	yd
𪧃	ydhjg
𫑅	ydli
𫑐	ydlk
𫑋	ydlq
𫑒	ydlr
𫐿	ydlu
𪵵	yeb
𪬆	yep
𫐽	yfdh
𫖎	yfdmq
𫐷	yfdv
𫑔	yffr
𫋡	yflmi
𪯜	yfok
𫛧	yfpym
𫟩	yfqu
𫐫	ygcn
𫐨	yglc
𪱮	ygmbc
𪜋	ygph
𪴸	ygph
𪱯	ygytu
𫟨	ygyv
𫐵	yhdf
𫛄	yhhaf
𪵏	yhhne
𫑇	yhlc
𪜠	yhni
𫑎	yhnm
𫑓	yhrr
𫐺	yhse
𫐯	yhxo
𫐰	yhxu
𪺮	yibhq
𪜟	yimmi
𫐤	yimn
𫝅	yio
𪜣	yioip
𪫼	yip
𫐟	yip
𫑃	yixd
𫐛	yjdb
𫐚	yjdn
𫑆	yjee
𫁯	yjhew
𪟷	yjihq
𫐜	yjip
𫆶	yjisb
𫐥	yjkp
𫎬	yjmbo
𫐱	yjmf
𫐲	yjmo
𪭀	yjp
𪯫	yjpg
𫛱	yjpym
𫜂	yjpym
𫐢	yjr
𫐦	yjru
𪟼	yjruc
𫐸	yjsl
𫑈	yjwb
𪟿	yjy
𫐝	yjyro
𪰎	yka
𪯧	ykc
𪹱	ykf
𫑁	ykhr
𪯠	yklll
𪟒	ykln
𪯨	ykmlh
𪯞	ykmrj
𪯩	ykoge
𪯤	ykomr
𪯕	ykoos
𪯛	ykqmf
𫑊	yksc
