貁	bhjc
腶	bhje
腫	bhjg
腄	bhjm
腯	bhju
貗	bhllv
貄	bhlq
貊	bhma
貆	bhmam
豾	bhmfm
豻	bhmj
肵	bhml
肌	bhn
冗	bhn
股	bhne
爲	bhnf
豽	bhob
貅	bhod
貐	bhomn
胻	bhon
豹	bhpi
胝	bhpm
豼	bhpp
豿	bhpr
胜	bhqm
胅	bhqo
貚	bhrrj
貑	bhrse
貂	bhshr
貙	bhsrr	bhs'rr
貘	bhtak
貖	bhtct
貛	bhtrg
貓	bhtw
见	bhu
臢	bhuc
貒	bhumb
臜	bhuo
貀	bhuu
膬	bhuu
胝	bhvi
胍	bhvo
貍	bhwg
脾	bhwj
膍	bhwp
舀	bhx
膄	bhxe
冩	bhxf
腴	bhxo
腉	bhxu
朖	biav
膊	bibi
朘	bice
脧	bice
脏	big
脯	bijb
脙	bije
肰	bik
肞	bik
胈	bike
胈	bikk
胧	bikp
肬	biku
膅	bilr
頱	bimbc
脉	bine
腑	bioi
悬	bip
膩	bipc
臕	bipf
腻	bipo
脦	bipp
胎	bir
臁	bitc
膔	bixp
虢	biypn
虢	biypu
肺	bjb
脖	bjbd
腩	bjbj	bjb'j
膣	bjcg
腔	bjcm
皸	bjdhe
肢	bje
鶤	bjhaf
膞	bjii
蠈	bjlmi
脻	bjlo
顐	bjmbc
臏	bjmc
腙	bjmf
腟	bjmg
腚	bjmo
脘	bjmu
鄆	bjnl
腕	bjnu
膑	bjoc
膹	bjtc
臗	bjti
胺	bjv
